Year,Live births,Abortion rate,Abortion rate (Guttmacher)
1945,,,
1946,,,
1947,,,
1948,,,
1949,,,
1950,82566,,
1951,83878,,
1952,82876,,
1953,82525,,
1954,82518,,
1955,81867,,
1956,84026,,
1957,83991,,
1958,82228,,
1959,82364,,
1960,80955,,
1961,80732,,
1962,78639,,
1963,76027,,
1964,76480,,
1965,70589,,
1966,66455,,
1967,64652,,
1968,63583,,
1969,64705,,
1970,"(66,832)",,
1971,"(66,742)",,
1972,61869,,1.53
1973,59760,,6.00
1974,58587,4.44,6.42
1975,57506,4.18,7.42
1976,57283,10.77,10.00
1977,61076,15.83,13.68
1978,59185,18.89,17.30
1979,60628,20.57,19.80
1980,62814,22.81,23.07
1981,61139,22.24,21.81
1982,61040,22.38,21.79
1983,57685,17.68,(21.33)
1984,58604,20.74,20.78
1985,58807,21.02,20.77
1986,56417,15.45,(20.74)
1987,59207,22.33,20.72
1988,59611,21.27,19.28
1989,60360,,(19.05)
1990,63487,,(18.60)
1991,60513,18.60,18.12
1992,63021,18.38,18.10
1993,63332,13.56,(16.97)
1994,60745,13.60,(15.91)
1995,60329,12.75,14.91
1996,60488,15.23,15.44
1997,60914,12.44,(15.16)
1998,62074,12.36,(14.81)
1999,62122,13.74,(14.57)
2000,63299,13.46,14.26
2001,60454,12.32,(14.06)
2002,58967,11.18,(12.90)
2003,59552,10.71,11.54
2004,59510,11.85,11.97
2005,60281,11.40,11.92
2006,63235,11.51,(12.26)
2007,65219,11.61,11.76
2008,64546,10.71,11.73
2009,62475,10.54,11.31
2010,60050,10.36,10.69
2011,59347,9.89,9.98
2012,58034,8.74,9.47
2013,58444,8.19,8.84
2014,59422,8.24,8.43
2015,59657,6.93,6.17
2016,59151,7.34,6.98
2017,58941,8.07,6.44
2018,57761,8.36,6.84
2019,58615,8.32,6.33
2020,57647,7.86,6.02
2021,58032,,(6.05)
