Year,Abortion rate,Abortion rate (Guttmacher)
1970,nan,6.12
1971,16.50,16.14
1972,15.93,15.56
1973,14.62,14.78
1974,12.22,13.90
1975,13.59,17.59
1976,17.11,16.71
1977,26.40,25.91
1978,29.86,24.96
1979,22.81,17.97
1980,22.04,17.80
1981,20.97,17.14
1982,19.88,16.32
1983,nan,19.82
1984,26.35,23.60
1985,27.43,25.03
1986,12.56,21.59
1987,20.55,18.79
1988,19.76,17.49
1989,nan,17.41
1990,nan,17.52
1991,19.88,17.23
1992,19.76,16.73
1993,nan,15.79
1994,nan,15.03
1995,nan,14.19
1996,16.60,15.37
1997,nan,14.84
1998,nan,14.20
1999,16.21,13.67
2000,13.46,11.76
2001,nan,12.30
2002,nan,12.81
2003,14.50,13.30
2004,15.52,13.71
2005,15.59,13.82
2006,15.02,13.51
2007,14.12,12.14
2008,14.17,12.50
2009,14.59,13.60
2010,12.77,13.41
2011,12.55,12.77
2012,12.22,12.53
2013,10.54,10.85
2014,11.42,10.52
2015,10.14,9.27
2016,9.76,8.73
2017,9.89,8.74
2018,9.64,9.20
2019,9.56,9.32
2020,8.47,8.79
2021,8.64,8.96
