Year,Abortion rate,Abortion rate (Guttmacher)
1945,nan,nan
1946,nan,nan
1947,nan,nan
1948,nan,nan
1949,nan,nan
1950,nan,nan
1951,nan,nan
1952,nan,nan
1953,nan,nan
1954,nan,nan
1955,nan,nan
1956,nan,nan
1957,nan,nan
1958,nan,nan
1959,nan,nan
1960,nan,nan
1961,nan,nan
1962,nan,nan
1963,nan,nan
1964,nan,nan
1965,nan,nan
1966,nan,nan
1967,nan,nan
1968,nan,nan
1969,nan,nan
1970,nan,nan
1971,nan,nan
1972,nan,1.53
1973,nan,6.00
1974,4.44,6.42
1975,4.18,7.42
1976,10.77,10.00
1977,15.83,13.68
1978,18.89,17.30
1979,20.57,19.80
1980,22.81,23.07
1981,22.24,21.81
1982,22.38,21.79
1983,17.68,21.33
1984,20.74,20.78
1985,21.02,20.77
1986,15.45,20.74
1987,22.33,20.72
1988,21.27,19.28
1989,nan,19.05
1990,nan,18.60
1991,18.60,18.12
1992,18.38,18.10
1993,13.56,16.97
1994,13.60,15.91
1995,12.75,14.91
1996,15.23,15.44
1997,12.44,15.16
1998,12.36,14.81
1999,13.74,14.57
2000,13.46,14.26
2001,12.32,14.06
2002,11.18,12.90
2003,10.71,11.54
2004,11.85,11.97
2005,11.40,11.92
2006,11.51,12.26
2007,11.61,11.76
2008,10.71,11.73
2009,10.54,11.31
2010,10.36,10.69
2011,9.89,9.98
2012,8.74,9.47
2013,8.19,8.84
2014,8.24,8.43
2015,6.93,6.17
2016,7.34,6.98
2017,8.07,6.44
2018,8.36,6.84
2019,8.32,6.33
2020,7.86,6.02
2021,nan,6.05
