Year,Abortion rate,Abortion rate (Guttmacher)
1950,nan,nan
1951,nan,nan
1952,nan,nan
1953,nan,nan
1954,nan,nan
1955,nan,nan
1956,nan,nan
1957,nan,nan
1958,nan,nan
1959,nan,nan
1960,nan,nan
1961,nan,nan
1962,nan,nan
1963,nan,nan
1964,nan,nan
1965,nan,nan
1966,nan,nan
1967,nan,nan
1968,nan,nan
1969,nan,nan
1970,nan,nan
1971,nan,nan
1972,nan,0.64
1973,nan,6.06
1974,5.48,12.66
1975,8.34,13.40
1976,15.71,15.19
1977,17.51,17.59
1978,23.91,23.42
1979,24.46,24.03
1980,25.26,25.05
1981,25.10,25.33
1982,23.72,23.52
1983,18.94,26.76
1984,29.94,29.61
1985,30.35,30.00
1986,18.64,28.62
1987,26.58,27.49
1988,26.99,28.04
1989,13.88,26.31
1990,16.63,24.93
1991,24.03,23.17
1992,24.56,23.86
1993,13.44,22.42
1994,13.41,20.73
1995,12.47,19.25
1996,20.96,20.11
1997,11.62,18.72
1998,15.09,17.57
1999,18.09,16.48
2000,16.88,16.45
2001,7.77,12.55
2002,9.55,14.94
2003,9.21,13.46
2004,15.67,15.42
2005,16.51,16.32
2006,16.31,15.81
2007,14.44,14.08
2008,8.51,15.49
2009,8.16,13.01
2010,8.97,12.01
2011,10.88,12.68
2012,10.45,11.49
2013,10.38,10.49
2014,9.86,9.85
2015,9.56,9.57
2016,9.98,9.96
2017,9.81,9.26
2018,9.16,9.05
2019,9.46,9.36
2020,9.27,9.36
2021,nan,9.44
