Year,Abortion rate,Abortion rate (Guttmacher)
1930,nan,nan
1931,nan,nan
1932,nan,nan
1933,nan,nan
1934,nan,nan
1935,nan,nan
1936,nan,nan
1937,nan,nan
1938,nan,nan
1939,nan,nan
1940,nan,nan
1941,nan,nan
1942,nan,nan
1943,nan,nan
1944,nan,nan
1945,nan,nan
1946,nan,nan
1947,nan,nan
1948,nan,nan
1949,nan,nan
1950,nan,nan
1951,nan,nan
1952,nan,nan
1953,nan,nan
1954,nan,nan
1955,nan,nan
1956,nan,nan
1957,nan,nan
1958,nan,nan
1959,nan,nan
1960,nan,nan
1961,nan,nan
1962,nan,nan
1963,nan,nan
1964,nan,nan
1965,nan,nan
1966,nan,nan
1967,nan,nan
1968,nan,nan
1969,nan,nan
1970,10.10,15.15
1971,15.33,26.48
1972,25.82,30.74
1973,25.82,31.10
1974,27.81,33.41
1975,28.47,33.81
1976,37.70,38.12
1977,39.91,40.05
1978,43.08,43.42
1979,44.36,44.66
1980,43.49,43.67
1981,44.68,44.66
1982,44.16,44.06
1983,13.73,45.63
1984,47.24,47.22
1985,47.02,47.02
1986,12.06,47.37
1987,44.31,47.85
1988,44.95,44.99
1989,12.38,44.49
1990,13.54,44.26
1991,44.32,44.36
1992,41.86,41.91
1993,17.11,39.04
1994,16.50,36.26
1995,14.95,33.42
1996,33.05,33.05
1997,15.41,32.46
1998,14.94,31.87
1999,31.79,31.36
2000,31.08,31.13
2001,11.03,31.67
2002,11.71,30.98
2003,11.76,28.85
2004,26.72,26.77
2005,26.49,26.77
2006,27.63,28.52
2007,28.30,28.60
2008,10.97,27.36
2009,11.29,26.16
2010,11.90,24.28
2011,12.03,22.99
2012,11.98,21.62
2013,11.67,20.59
2014,10.38,19.66
2015,nan,18.50
2016,nan,17.51
2017,nan,16.50
2018,nan,17.61
2019,nan,18.76
2020,nan,19.27
2021,nan,19.95
