Year,Live births,Abortion rate,Abortion rate (Guttmacher)
1970,"(50,490)",nan,nan
1971,"(45,376)",nan,nan
1972,39130,nan,4.00
1973,36642,nan,10.39
1974,36340,14.45,14.09
1975,35662,18.62,17.04
1976,35422,25.67,22.99
1977,36318,27.35,24.11
1978,37006,28.52,25.33
1979,36959,28.61,25.82
1980,34069,27.46,25.51
1981,37604,33.13,30.75
1982,40125,33.05,31.13
1983,40380,23.85,29.60
1984,39237,29.47,28.11
1985,36878,29.41,28.21
1986,40595,24.53,28.24
1987,46547,29.02,28.39
1988,46868,31.05,29.98
1989,47560,nan,28.81
1990,50123,nan,27.63
1991,48282,26.97,26.58
1992,47335,26.63,26.13
1993,45821,21.58,25.17
1994,42108,24.08,24.08
1995,44334,14.99,22.92
1996,44469,22.82,22.44
1997,43109,19.32,21.72
1998,43820,18.27,21.16
1999,43310,21.57,20.57
2000,43026,21.39,21.09
2001,42648,18.40,22.57
2002,42001,18.51,23.84
2003,42873,17.32,22.87
2004,42095,23.75,23.55
2005,41537,24.42,23.64
2006,41807,28.31,24.49
2007,41684,25.27,24.79
2008,40399,20.77,24.36
2009,38896,19.64,23.00
2010,37708,19.33,22.29
2011,37280,18.15,21.25
2012,36680,17.28,20.21
2013,36088,15.34,19.48
2014,36285,15.60,19.29
2015,35746,14.61,18.03
2016,36015,14.81,18.17
2017,35221,17.83,17.77
2018,34725,13.51,17.62
2019,34258,13.58,17.90
2020,33460,nan,16.68
2021,35646,nan,16.22
