Year,Abortion rate,Abortion rate (Guttmacher)
1970,nan,4.70
1971,nan,7.69
1972,10.22,10.55
1973,nan,15.74
1974,nan,16.47
1975,22.55,17.27
1976,27.42,18.40
1977,31.62,21.46
1978,29.90,24.30
1979,30.22,25.33
1980,31.19,25.96
1981,27.72,27.94
1982,25.47,26.68
1983,nan,29.12
1984,24.98,31.46
1985,23.01,30.27
1986,nan,33.33
1987,29.21,36.30
1988,28.89,36.10
1989,nan,35.71
1990,nan,35.39
1991,28.25,34.91
1992,28.14,34.91
1993,nan,34.77
1994,nan,34.66
1995,nan,34.27
1996,17.41,26.27
1997,20.61,27.50
1998,21.54,28.70
1999,20.85,29.97
2000,22.54,31.28
2001,21.14,29.91
2002,19.92,27.60
2003,19.24,25.59
2004,21.72,28.00
2005,23.21,28.87
2006,26.79,39.35
2007,32.54,42.11
2008,19.85,39.28
2009,20.72,38.53
2010,21.15,36.66
2011,19.49,28.48
2012,19.71,23.02
2013,16.62,17.83
2014,16.29,16.79
2015,16.12,14.56
2016,14.10,12.55
2017,15.52,10.65
2018,13.96,9.72
2019,15.11,11.33
2020,14.98,12.54
2021,nan,13.03
