Year,Abortion rate,Abortion rate (Guttmacher)
1950,nan,nan
1951,nan,nan
1952,nan,nan
1953,nan,nan
1954,nan,nan
1955,nan,nan
1956,nan,nan
1957,nan,nan
1958,nan,nan
1959,nan,nan
1960,nan,nan
1961,nan,nan
1962,nan,nan
1963,nan,nan
1964,nan,nan
1965,nan,nan
1966,nan,nan
1967,nan,nan
1968,nan,nan
1969,nan,nan
1970,nan,nan
1971,nan,nan
1972,nan,2.28
1973,nan,14.48
1974,9.38,18.15
1975,9.84,26.87
1976,28.99,28.72
1977,27.62,31.24
1978,29.75,33.44
1979,34.05,35.38
1980,33.98,35.33
1981,34.06,35.33
1982,32.81,34.06
1983,nan,32.79
1984,29.18,31.52
1985,28.53,30.90
1986,nan,30.75
1987,28.05,30.62
1988,28.28,30.90
1989,nan,30.49
1990,nan,30.21
1991,27.49,29.81
1992,27.13,29.71
1993,nan,29.90
1994,nan,29.92
1995,nan,29.94
1996,30.55,31.87
1997,nan,31.52
1998,nan,31.24
1999,30.79,31.09
2000,29.69,31.87
2001,nan,29.57
2002,nan,29.18
2003,26.11,28.76
2004,26.01,28.06
2005,24.27,26.31
2006,25.00,27.27
2007,24.76,26.69
2008,nan,26.39
2009,nan,24.84
2010,nan,24.17
2011,nan,23.79
2012,nan,22.82
2013,nan,21.18
2014,nan,20.67
2015,nan,19.90
2016,nan,18.57
2017,17.95,18.58
2018,17.66,18.50
2019,18.06,18.59
2020,18.12,19.78
2021,19.03,20.94
2022,nan,nan
