State,Year,Abortion rate (Guttmacher)
AL,1945,nan
AL,1946,nan
AL,1947,nan
AL,1948,nan
AL,1949,nan
AL,1950,nan
AL,1951,nan
AL,1952,nan
AL,1953,nan
AL,1954,nan
AL,1955,nan
AL,1956,nan
AL,1957,nan
AL,1958,nan
AL,1959,nan
AL,1960,nan
AL,1961,nan
AL,1962,nan
AL,1963,nan
AL,1964,nan
AL,1965,nan
AL,1966,nan
AL,1967,nan
AL,1968,nan
AL,1969,nan
AL,1970,nan
AL,1971,nan
AL,1972,1.53
AL,1973,6.00
AL,1974,6.42
AL,1975,7.42
AL,1976,10.00
AL,1977,13.68
AL,1978,17.30
AL,1979,19.80
AL,1980,23.07
AL,1981,21.81
AL,1982,21.79
AL,1983,21.33
AL,1984,20.78
AL,1985,20.77
AL,1986,20.74
AL,1987,20.72
AL,1988,19.28
AL,1989,19.05
AL,1990,18.60
AL,1991,18.12
AL,1992,18.10
AL,1993,16.97
AL,1994,15.91
AL,1995,14.91
AL,1996,15.44
AL,1997,15.16
AL,1998,14.81
AL,1999,14.57
AL,2000,14.26
AL,2001,14.06
AL,2002,12.90
AL,2003,11.54
AL,2004,11.97
AL,2005,11.92
AL,2006,12.26
AL,2007,11.76
AL,2008,11.73
AL,2009,11.31
AL,2010,10.69
AL,2011,9.98
AL,2012,9.47
AL,2013,8.84
AL,2014,8.43
AL,2015,6.17
AL,2016,6.98
AL,2017,6.44
AL,2018,6.84
AL,2019,6.33
AL,2020,6.02
AL,2021,6.05
