State,Year,Abortion rate (Guttmacher)
AR,1940,nan
AR,1941,nan
AR,1942,nan
AR,1943,nan
AR,1944,nan
AR,1945,nan
AR,1946,nan
AR,1947,nan
AR,1948,nan
AR,1949,nan
AR,1950,nan
AR,1951,nan
AR,1952,nan
AR,1953,nan
AR,1954,nan
AR,1955,nan
AR,1956,nan
AR,1957,nan
AR,1958,nan
AR,1959,nan
AR,1960,nan
AR,1961,nan
AR,1962,nan
AR,1963,nan
AR,1964,nan
AR,1965,nan
AR,1966,nan
AR,1967,nan
AR,1968,nan
AR,1969,nan
AR,1970,nan
AR,1971,1.62
AR,1972,1.95
AR,1973,2.71
AR,1974,4.46
AR,1975,5.76
AR,1976,9.15
AR,1977,7.54
AR,1978,10.60
AR,1979,12.32
AR,1980,12.28
AR,1981,12.54
AR,1982,13.05
AR,1983,11.57
AR,1984,10.09
AR,1985,10.39
AR,1986,11.88
AR,1987,13.35
AR,1988,11.95
AR,1989,12.58
AR,1990,13.13
AR,1991,13.62
AR,1992,13.57
AR,1993,12.72
AR,1994,11.92
AR,1995,11.16
AR,1996,11.44
AR,1997,11.11
AR,1998,10.84
AR,1999,10.60
AR,2000,9.84
AR,2001,10.57
AR,2002,9.49
AR,2003,9.66
AR,2004,8.27
AR,2005,8.34
AR,2006,8.83
AR,2007,8.59
AR,2008,8.59
AR,2009,8.26
AR,2010,8.20
AR,2011,7.63
AR,2012,7.64
AR,2013,7.77
AR,2014,7.97
AR,2015,6.89
AR,2016,5.73
AR,2017,5.63
AR,2018,5.31
AR,2019,5.12
AR,2020,5.60
AR,2021,5.55
