State,Year,Abortion rate (Guttmacher)
AZ,1950,nan
AZ,1951,nan
AZ,1952,nan
AZ,1953,nan
AZ,1954,nan
AZ,1955,nan
AZ,1956,nan
AZ,1957,nan
AZ,1958,nan
AZ,1959,nan
AZ,1960,nan
AZ,1961,nan
AZ,1962,nan
AZ,1963,nan
AZ,1964,nan
AZ,1965,nan
AZ,1966,nan
AZ,1967,nan
AZ,1968,nan
AZ,1969,nan
AZ,1970,nan
AZ,1971,nan
AZ,1972,0.64
AZ,1973,6.06
AZ,1974,12.66
AZ,1975,13.40
AZ,1976,15.19
AZ,1977,17.59
AZ,1978,23.42
AZ,1979,24.03
AZ,1980,25.05
AZ,1981,25.33
AZ,1982,23.52
AZ,1983,26.76
AZ,1984,29.61
AZ,1985,30.00
AZ,1986,28.62
AZ,1987,27.49
AZ,1988,28.04
AZ,1989,26.31
AZ,1990,24.93
AZ,1991,23.17
AZ,1992,23.86
AZ,1993,22.42
AZ,1994,20.73
AZ,1995,19.25
AZ,1996,20.11
AZ,1997,18.72
AZ,1998,17.57
AZ,1999,16.48
AZ,2000,16.45
AZ,2001,12.55
AZ,2002,14.94
AZ,2003,13.46
AZ,2004,15.42
AZ,2005,16.32
AZ,2006,15.81
AZ,2007,14.08
AZ,2008,15.49
AZ,2009,13.01
AZ,2010,12.01
AZ,2011,12.68
AZ,2012,11.49
AZ,2013,10.49
AZ,2014,9.85
AZ,2015,9.57
AZ,2016,9.96
AZ,2017,9.26
AZ,2018,9.05
AZ,2019,9.36
AZ,2020,9.36
AZ,2021,9.44
