State,Year,Abortion rate (Guttmacher)
CO,1961,nan
CO,1962,nan
CO,1963,nan
CO,1964,nan
CO,1965,nan
CO,1966,nan
CO,1967,nan
CO,1968,nan
CO,1969,nan
CO,1970,5.25
CO,1971,8.30
CO,1972,9.85
CO,1973,13.13
CO,1974,18.93
CO,1975,22.12
CO,1976,23.44
CO,1977,28.24
CO,1978,28.79
CO,1979,31.27
CO,1980,31.40
CO,1981,31.62
CO,1982,32.34
CO,1983,31.27
CO,1984,30.53
CO,1985,29.89
CO,1986,26.33
CO,1987,22.98
CO,1988,23.06
CO,1989,24.09
CO,1990,25.05
CO,1991,25.68
CO,1992,24.06
CO,1993,21.95
CO,1994,19.95
CO,1995,18.06
CO,1996,20.90
CO,1997,19.43
CO,1998,18.05
CO,1999,16.61
CO,2000,15.92
CO,2001,15.69
CO,2002,15.61
CO,2003,15.65
CO,2004,15.68
CO,2005,16.27
CO,2006,15.56
CO,2007,16.18
CO,2008,15.76
CO,2009,15.30
CO,2010,14.65
CO,2011,14.18
CO,2012,13.03
CO,2013,12.08
CO,2014,12.19
CO,2015,11.56
CO,2016,11.06
CO,2017,10.91
CO,2018,10.75
CO,2019,10.57
CO,2020,11.29
CO,2021,12.45
