State,Year,Abortion rate (Guttmacher)
CT,1970,nan
CT,1971,nan
CT,1972,4.00
CT,1973,10.39
CT,1974,14.09
CT,1975,17.04
CT,1976,22.99
CT,1977,24.11
CT,1978,25.33
CT,1979,25.82
CT,1980,25.51
CT,1981,30.75
CT,1982,31.13
CT,1983,29.60
CT,1984,28.11
CT,1985,28.21
CT,1986,28.24
CT,1987,28.39
CT,1988,29.98
CT,1989,28.81
CT,1990,27.63
CT,1991,26.58
CT,1992,26.13
CT,1993,25.17
CT,1994,24.08
CT,1995,22.92
CT,1996,22.44
CT,1997,21.72
CT,1998,21.16
CT,1999,20.57
CT,2000,21.09
CT,2001,22.57
CT,2002,23.84
CT,2003,22.87
CT,2004,23.55
CT,2005,23.64
CT,2006,24.49
CT,2007,24.79
CT,2008,24.36
CT,2009,23.00
CT,2010,22.29
CT,2011,21.25
CT,2012,20.21
CT,2013,19.48
CT,2014,19.29
CT,2015,18.03
CT,2016,18.17
CT,2017,17.77
CT,2018,17.62
CT,2019,17.90
CT,2020,16.68
CT,2021,16.22
