State,Year,Abortion Rate (Guttmacher)
DC,1970,9.42
DC,1971,104.00
DC,1972,213.63
DC,1973,245.11
DC,1974,182.21
DC,1975,173.90
DC,1976,179.14
DC,1977,178.37
DC,1978,175.41
DC,1979,165.37
DC,1980,167.19
DC,1981,175.89
DC,1982,164.93
DC,1983,149.67
DC,1984,134.67
DC,1985,135.41
DC,1986,139.82
DC,1987,145.90
DC,1988,149.69
DC,1989,143.52
DC,1990,138.95
DC,1991,134.77
DC,1992,138.42
DC,1993,132.25
DC,1994,126.93
DC,1995,121.94
DC,1996,114.04
DC,1997,103.79
DC,1998,91.29
DC,1999,78.11
DC,2000,68.29
DC,2001,63.38
DC,2002,58.97
DC,2003,54.71
DC,2004,49.85
DC,2005,50.23
DC,2006,40.52
DC,2007,27.86
DC,2008,29.11
DC,2009,27.58
DC,2010,28.54
DC,2011,28.47
DC,2012,30.18
DC,2013,32.37
DC,2014,32.83
DC,2015,14.57
DC,2016,10.39
DC,2017,30.14
DC,2018,41.17
DC,2019,52.02
DC,2020,49.10
DC,2021,50.22
