State,Year,Abortion rate (Guttmacher)
DE,1970,4.70
DE,1971,7.69
DE,1972,10.55
DE,1973,15.74
DE,1974,16.47
DE,1975,17.27
DE,1976,18.40
DE,1977,21.46
DE,1978,24.30
DE,1979,25.33
DE,1980,25.96
DE,1981,27.94
DE,1982,26.68
DE,1983,29.12
DE,1984,31.46
DE,1985,30.27
DE,1986,33.33
DE,1987,36.30
DE,1988,36.10
DE,1989,35.71
DE,1990,35.39
DE,1991,34.91
DE,1992,34.91
DE,1993,34.77
DE,1994,34.66
DE,1995,34.27
DE,1996,26.27
DE,1997,27.50
DE,1998,28.70
DE,1999,29.97
DE,2000,31.28
DE,2001,29.91
DE,2002,27.60
DE,2003,25.59
DE,2004,28.00
DE,2005,28.87
DE,2006,39.35
DE,2007,42.11
DE,2008,39.28
DE,2009,38.53
DE,2010,36.66
DE,2011,28.48
DE,2012,23.02
DE,2013,17.83
DE,2014,16.79
DE,2015,14.56
DE,2016,12.55
DE,2017,10.65
DE,2018,9.72
DE,2019,11.33
DE,2020,12.54
DE,2021,13.03
