State,Year,Abortion rate (Guttmacher)
FL,1950,nan
FL,1951,nan
FL,1952,nan
FL,1953,nan
FL,1954,nan
FL,1955,nan
FL,1956,nan
FL,1957,nan
FL,1958,nan
FL,1959,nan
FL,1960,nan
FL,1961,nan
FL,1962,nan
FL,1963,nan
FL,1964,nan
FL,1965,nan
FL,1966,nan
FL,1967,nan
FL,1968,nan
FL,1969,nan
FL,1970,nan
FL,1971,nan
FL,1972,2.28
FL,1973,14.48
FL,1974,18.15
FL,1975,26.87
FL,1976,28.72
FL,1977,31.24
FL,1978,33.44
FL,1979,35.38
FL,1980,35.33
FL,1981,35.33
FL,1982,34.06
FL,1983,32.79
FL,1984,31.52
FL,1985,30.90
FL,1986,30.75
FL,1987,30.62
FL,1988,30.90
FL,1989,30.49
FL,1990,30.21
FL,1991,29.81
FL,1992,29.71
FL,1993,29.90
FL,1994,29.92
FL,1995,29.94
FL,1996,31.87
FL,1997,31.52
FL,1998,31.24
FL,1999,31.09
FL,2000,31.87
FL,2001,29.57
FL,2002,29.18
FL,2003,28.76
FL,2004,28.06
FL,2005,26.31
FL,2006,27.27
FL,2007,26.69
FL,2008,26.39
FL,2009,24.84
FL,2010,24.17
FL,2011,23.79
FL,2012,22.82
FL,2013,21.18
FL,2014,20.67
FL,2015,19.90
FL,2016,18.57
FL,2017,18.58
FL,2018,18.50
FL,2019,18.59
FL,2020,19.78
FL,2021,20.94
FL,2022,nan
