State,Year,Abortion Rate (Guttmacher)
GA,1969,nan
GA,1970,0.70
GA,1971,1.52
GA,1972,2.34
GA,1973,11.09
GA,1974,19.26
GA,1975,20.34
GA,1976,21.55
GA,1977,26.27
GA,1978,28.57
GA,1979,29.82
GA,1980,28.40
GA,1981,27.79
GA,1982,27.62
GA,1983,27.21
GA,1984,26.60
GA,1985,25.64
GA,1986,24.37
GA,1987,23.21
GA,1988,23.10
GA,1989,23.52
GA,1990,23.88
GA,1991,24.11
GA,1992,23.86
GA,1993,23.03
GA,1994,22.10
GA,1995,21.24
GA,1996,21.13
GA,1997,20.04
GA,1998,19.01
GA,1999,18.02
GA,2000,16.87
GA,2001,17.80
GA,2002,18.18
GA,2003,18.32
GA,2004,17.33
GA,2005,16.66
GA,2006,17.37
GA,2007,17.40
GA,2008,19.23
GA,2009,17.61
GA,2010,17.15
GA,2011,16.88
GA,2012,16.29
GA,2013,16.11
GA,2014,15.77
GA,2015,16.05
GA,2016,16.43
GA,2017,17.00
GA,2018,17.48
GA,2019,18.39
GA,2020,19.02
GA,2021,19.69
