State,Year,Abortion Rate (Guttmacher)
HI,1967,nan
HI,1968,nan
HI,1969,nan
HI,1970,16.61
HI,1971,23.21
HI,1972,24.50
HI,1973,24.61
HI,1974,26.85
HI,1975,29.14
HI,1976,27.99
HI,1977,36.96
HI,1978,32.41
HI,1979,33.75
HI,1980,34.47
HI,1981,37.73
HI,1982,38.32
HI,1983,40.34
HI,1984,42.62
HI,1985,45.15
HI,1986,44.93
HI,1987,44.50
HI,1988,43.81
HI,1989,44.80
HI,1990,45.42
HI,1991,46.36
HI,1992,46.62
HI,1993,40.84
HI,1994,35.02
HI,1995,29.21
HI,1996,27.16
HI,1997,26.26
HI,1998,25.48
HI,1999,24.89
HI,2000,22.22
HI,2001,22.85
HI,2002,22.63
HI,2003,21.02
HI,2004,20.16
HI,2005,20.67
HI,2006,23.04
HI,2007,21.77
HI,2008,21.61
HI,2009,22.51
HI,2010,21.01
HI,2011,21.57
HI,2012,18.75
HI,2013,16.28
HI,2014,14.46
HI,2015,13.18
HI,2016,11.94
HI,2017,12.40
HI,2018,12.00
HI,2019,12.39
HI,2020,12.46
HI,2021,12.37
