State,Year,Abortion Rate (Guttmacher)
IA,1930,nan
IA,1931,nan
IA,1932,nan
IA,1933,nan
IA,1934,nan
IA,1935,nan
IA,1936,nan
IA,1937,nan
IA,1938,nan
IA,1939,nan
IA,1940,nan
IA,1941,nan
IA,1942,nan
IA,1943,nan
IA,1944,nan
IA,1945,nan
IA,1946,nan
IA,1947,nan
IA,1948,nan
IA,1949,nan
IA,1950,nan
IA,1951,nan
IA,1952,nan
IA,1953,nan
IA,1954,nan
IA,1955,nan
IA,1956,nan
IA,1957,nan
IA,1958,nan
IA,1959,nan
IA,1960,nan
IA,1961,nan
IA,1962,nan
IA,1963,nan
IA,1964,nan
IA,1965,nan
IA,1966,nan
IA,1967,nan
IA,1968,nan
IA,1969,nan
IA,1970,nan
IA,1971,nan
IA,1972,nan
IA,1973,3.96
IA,1974,10.09
IA,1975,10.23
IA,1976,10.89
IA,1977,11.10
IA,1978,11.77
IA,1979,14.37
IA,1980,14.29
IA,1981,13.11
IA,1982,12.77
IA,1983,14.57
IA,1984,16.35
IA,1985,15.72
IA,1986,15.12
IA,1987,14.43
IA,1988,15.35
IA,1989,14.24
IA,1990,13.02
IA,1991,11.76
IA,1992,11.38
IA,1993,10.87
IA,1994,10.35
IA,1995,9.83
IA,1996,12.40
IA,1997,11.64
IA,1998,10.88
IA,1999,10.12
IA,2000,9.92
IA,2001,9.45
IA,2002,10.41
IA,2003,9.96
IA,2004,10.19
IA,2005,10.85
IA,2006,12.39
IA,2007,12.23
IA,2008,11.32
IA,2009,10.79
IA,2010,10.40
IA,2011,9.74
IA,2012,9.11
IA,2013,8.38
IA,2014,7.46
IA,2015,7.56
IA,2016,7.21
IA,2017,6.36
IA,2018,6.17
IA,2019,5.98
IA,2020,6.79
IA,2021,7.16
