State,Year,Abortion rate (Guttmacher)
ID,1970,nan
ID,1971,nan
ID,1972,nan
ID,1973,2.31
ID,1974,4.50
ID,1975,5.98
ID,1976,7.05
ID,1977,8.79
ID,1978,10.28
ID,1979,11.57
ID,1980,12.72
ID,1981,13.83
ID,1982,13.78
ID,1983,13.09
ID,1984,12.36
ID,1985,11.96
ID,1986,10.49
ID,1987,9.03
ID,1988,8.80
ID,1989,8.50
ID,1990,8.11
ID,1991,7.56
ID,1992,7.27
ID,1993,6.75
ID,1994,6.27
ID,1995,5.83
ID,1996,6.11
ID,1997,6.55
ID,1998,7.04
ID,1999,7.48
ID,2000,7.00
ID,2001,6.14
ID,2002,6.57
ID,2003,6.91
ID,2004,6.94
ID,2005,6.20
ID,2006,6.43
ID,2007,6.66
ID,2008,5.91
ID,2009,6.37
ID,2010,5.67
ID,2011,5.46
ID,2012,4.92
ID,2013,4.42
ID,2014,4.31
ID,2015,4.01
ID,2016,3.99
ID,2017,3.89
ID,2018,3.73
ID,2019,4.40
ID,2020,4.79
ID,2021,5.00
