State,Year,Abortion Rate (Guttmacher)
IL,1930,nan
IL,1931,nan
IL,1932,nan
IL,1933,nan
IL,1934,nan
IL,1935,nan
IL,1936,nan
IL,1937,nan
IL,1938,nan
IL,1939,nan
IL,1940,nan
IL,1941,nan
IL,1942,nan
IL,1943,nan
IL,1944,nan
IL,1945,nan
IL,1946,nan
IL,1947,nan
IL,1948,nan
IL,1949,nan
IL,1950,nan
IL,1951,nan
IL,1952,nan
IL,1953,nan
IL,1954,nan
IL,1955,nan
IL,1956,nan
IL,1957,nan
IL,1958,nan
IL,1959,nan
IL,1960,nan
IL,1961,nan
IL,1962,nan
IL,1963,nan
IL,1964,nan
IL,1965,nan
IL,1966,nan
IL,1967,nan
IL,1968,nan
IL,1969,nan
IL,1970,nan
IL,1971,nan
IL,1972,nan
IL,1973,13.56
IL,1974,20.69
IL,1975,24.22
IL,1976,28.86
IL,1977,27.76
IL,1978,26.82
IL,1979,26.81
IL,1980,25.90
IL,1981,25.48
IL,1982,24.82
IL,1983,24.70
IL,1984,24.54
IL,1985,24.13
IL,1986,25.44
IL,1987,26.76
IL,1988,27.01
IL,1989,26.12
IL,1990,25.08
IL,1991,24.06
IL,1992,25.38
IL,1993,25.31
IL,1994,25.29
IL,1995,25.26
IL,1996,25.74
IL,1997,24.37
IL,1998,22.97
IL,1999,21.60
IL,2000,23.21
IL,2001,22.81
IL,2002,22.36
IL,2003,19.60
IL,2004,19.68
IL,2005,19.08
IL,2006,20.31
IL,2007,19.66
IL,2008,20.74
IL,2009,19.61
IL,2010,16.88
IL,2011,17.03
IL,2012,17.75
IL,2013,16.68
IL,2014,16.33
IL,2015,16.96
IL,2016,16.41
IL,2017,16.67
IL,2018,18.55
IL,2019,20.96
IL,2020,21.36
IL,2021,22.47
