State,Year,Abortion rate (Guttmacher)
IN,1970,nan
IN,1971,nan
IN,1972,nan
IN,1973,1.53
IN,1974,5.17
IN,1975,6.66
IN,1976,7.26
IN,1977,8.47
IN,1978,12.28
IN,1979,14.91
IN,1980,15.33
IN,1981,12.51
IN,1982,12.32
IN,1983,12.46
IN,1984,12.51
IN,1985,12.49
IN,1986,12.35
IN,1987,12.21
IN,1988,12.16
IN,1989,12.20
IN,1990,12.15
IN,1991,12.11
IN,1992,12.04
IN,1993,11.53
IN,1994,11.05
IN,1995,10.56
IN,1996,11.14
IN,1997,10.55
IN,1998,9.97
IN,1999,9.40
IN,2000,9.43
IN,2001,9.22
IN,2002,8.60
IN,2003,9.11
IN,2004,8.45
IN,2005,8.57
IN,2006,8.37
IN,2007,8.44
IN,2008,8.49
IN,2009,8.18
IN,2010,8.08
IN,2011,7.32
IN,2012,7.14
IN,2013,6.66
IN,2014,6.32
IN,2015,6.33
IN,2016,5.90
IN,2017,5.95
IN,2018,6.17
IN,2019,5.89
IN,2020,6.00
IN,2021,6.49
