State,Year,Abortion rate (Guttmacher)
KS,1970,nan
KS,1971,20.82
KS,1972,27.77
KS,1973,26.91
KS,1974,28.19
KS,1975,29.53
KS,1976,26.18
KS,1977,29.08
KS,1978,25.00
KS,1979,26.24
KS,1980,25.54
KS,1981,27.09
KS,1982,26.68
KS,1983,24.63
KS,1984,22.63
KS,1985,18.46
KS,1986,19.50
KS,1987,20.59
KS,1988,20.56
KS,1989,21.40
KS,1990,22.18
KS,1991,22.91
KS,1992,22.39
KS,1993,21.22
KS,1994,20.05
KS,1995,18.85
KS,1996,18.64
KS,1997,19.61
KS,1998,20.55
KS,1999,21.57
KS,2000,21.38
KS,2001,21.51
KS,2002,20.67
KS,2003,20.52
KS,2004,20.17
KS,2005,19.36
KS,2006,20.10
KS,2007,19.52
KS,2008,19.22
KS,2009,17.11
KS,2010,15.02
KS,2011,14.17
KS,2012,13.66
KS,2013,13.75
KS,2014,13.09
KS,2015,12.48
KS,2016,12.22
KS,2017,12.27
KS,2018,12.52
KS,2019,12.33
KS,2020,14.63
KS,2021,15.25
