State,Year,Abortion Rate (Guttmacher)
KY,1970,nan
KY,1971,nan
KY,1972,nan
KY,1973,3.62
KY,1974,10.48
KY,1975,11.23
KY,1976,13.00
KY,1977,14.23
KY,1978,15.19
KY,1979,15.39
KY,1980,15.16
KY,1981,12.01
KY,1982,12.62
KY,1983,12.11
KY,1984,11.66
KY,1985,11.31
KY,1986,12.28
KY,1987,13.25
KY,1988,13.38
KY,1989,12.63
KY,1990,11.78
KY,1991,10.94
KY,1992,11.39
KY,1993,10.51
KY,1994,9.64
KY,1995,8.76
KY,1996,9.54
KY,1997,8.46
KY,1998,7.33
KY,1999,6.22
KY,2000,5.29
KY,2001,4.35
KY,2002,4.08
KY,2003,4.26
KY,2004,4.22
KY,2005,4.46
KY,2006,4.65
KY,2007,5.27
KY,2008,5.14
KY,2009,4.96
KY,2010,4.72
KY,2011,4.65
KY,2012,4.52
KY,2013,4.34
KY,2014,4.15
KY,2015,3.78
KY,2016,3.91
KY,2017,3.78
KY,2018,3.78
KY,2019,4.33
KY,2020,4.84
KY,2021,5.14
