State,Year,Abortion Rate (Guttmacher)
LA,1970,nan
LA,1971,nan
LA,1972,nan
LA,1973,nan
LA,1974,5.18
LA,1975,6.06
LA,1976,9.53
LA,1977,15.78
LA,1978,14.00
LA,1979,16.45
LA,1980,17.60
LA,1981,20.18
LA,1982,21.30
LA,1983,18.30
LA,1984,18.17
LA,1985,18.06
LA,1986,15.09
LA,1987,15.99
LA,1988,16.95
LA,1989,14.06
LA,1990,13.89
LA,1991,13.68
LA,1992,13.52
LA,1993,12.31
LA,1994,13.10
LA,1995,13.87
LA,1996,14.67
LA,1997,11.71
LA,1998,12.20
LA,1999,12.76
LA,2000,13.03
LA,2001,12.52
LA,2002,11.97
LA,2003,12.15
LA,2004,12.76
LA,2005,11.60
LA,2006,14.85
LA,2007,15.66
LA,2008,16.14
LA,2009,14.34
LA,2010,13.67
LA,2011,13.12
LA,2012,11.80
LA,2013,10.67
LA,2014,11.02
LA,2015,11.06
LA,2016,11.22
LA,2017,10.67
LA,2018,9.77
LA,2019,8.84
LA,2020,8.13
LA,2021,8.01
