State,Year,Abortion Rate (Guttmacher)
MA,1970,nan
MA,1971,nan
MA,1972,2.80
MA,1973,10.02
MA,1974,22.14
MA,1975,26.17
MA,1976,29.72
MA,1977,30.03
MA,1978,32.10
MA,1979,33.50
MA,1980,33.42
MA,1981,30.00
MA,1982,29.37
MA,1983,27.25
MA,1984,25.09
MA,1985,27.43
MA,1986,27.58
MA,1987,27.82
MA,1988,29.22
MA,1989,29.34
MA,1990,29.60
MA,1991,30.16
MA,1992,28.29
MA,1993,28.73
MA,1994,29.04
MA,1995,29.24
MA,1996,29.36
MA,1997,26.44
MA,1998,23.56
MA,1999,20.67
MA,2000,21.37
MA,2001,20.51
MA,2002,19.63
MA,2003,19.99
MA,2004,18.96
MA,2005,19.85
MA,2006,20.34
MA,2007,18.99
MA,2008,18.37
MA,2009,18.28
MA,2010,17.99
MA,2011,17.71
MA,2012,16.40
MA,2013,15.28
MA,2014,15.30
MA,2015,14.57
MA,2016,13.94
MA,2017,13.42
MA,2018,13.39
MA,2019,13.65
MA,2020,12.23
MA,2021,12.22
