State,Year,Abortion Rate (Guttmacher)
MN,1960,nan
MN,1961,nan
MN,1962,nan
MN,1963,nan
MN,1964,nan
MN,1965,nan
MN,1966,nan
MN,1967,nan
MN,1968,nan
MN,1969,nan
MN,1970,nan
MN,1971,nan
MN,1972,nan
MN,1973,8.88
MN,1974,13.75
MN,1975,14.81
MN,1976,17.71
MN,1977,18.97
MN,1978,19.05
MN,1979,20.25
MN,1980,20.70
MN,1981,20.43
MN,1982,19.39
MN,1983,18.51
MN,1984,17.57
MN,1985,17.68
MN,1986,17.61
MN,1987,17.58
MN,1988,18.21
MN,1989,17.61
MN,1990,16.99
MN,1991,16.33
MN,1992,15.69
MN,1993,15.20
MN,1994,14.71
MN,1995,14.23
MN,1996,13.92
MN,1997,13.80
MN,1998,13.71
MN,1999,13.60
MN,2000,13.48
MN,2001,13.75
MN,2002,13.20
MN,2003,13.17
MN,2004,12.83
MN,2005,13.00
MN,2006,13.54
MN,2007,13.18
MN,2008,12.36
MN,2009,11.88
MN,2010,11.07
MN,2011,10.66
MN,2012,10.33
MN,2013,9.57
MN,2014,9.63
MN,2015,9.37
MN,2016,9.61
MN,2017,10.09
MN,2018,10.22
MN,2019,10.34
MN,2020,10.17
MN,2021,11.27
MN,2022,nan
