State,Year,Abortion Rate (Guttmacher)
MO,1970,nan
MO,1971,nan
MO,1972,nan
MO,1973,3.45
MO,1974,8.27
MO,1975,10.68
MO,1976,12.95
MO,1977,13.92
MO,1978,14.36
MO,1979,16.18
MO,1980,19.38
MO,1981,17.49
MO,1982,17.59
MO,1983,18.51
MO,1984,19.39
MO,1985,17.46
MO,1986,17.37
MO,1987,17.28
MO,1988,16.68
MO,1989,15.67
MO,1990,14.55
MO,1991,13.43
MO,1992,11.54
MO,1993,10.85
MO,1994,10.13
MO,1995,9.43
MO,1996,9.75
MO,1997,8.74
MO,1998,7.75
MO,1999,6.77
MO,2000,6.56
MO,2001,6.60
MO,2002,7.06
MO,2003,7.31
MO,2004,7.19
MO,2005,7.04
MO,2006,6.53
MO,2007,6.22
MO,2008,6.28
MO,2009,5.83
MO,2010,5.24
MO,2011,4.96
MO,2012,4.85
MO,2013,4.67
MO,2014,4.38
MO,2015,4.43
MO,2016,4.53
MO,2017,4.03
MO,2018,2.48
MO,2019,1.29
MO,2020,0.14
MO,2021,0.12
