State,Year,Abortion rate (Guttmacher)
MS,1930,nan
MS,1931,nan
MS,1932,nan
MS,1933,nan
MS,1934,nan
MS,1935,nan
MS,1936,nan
MS,1937,nan
MS,1938,nan
MS,1939,nan
MS,1940,nan
MS,1941,nan
MS,1942,nan
MS,1943,nan
MS,1944,nan
MS,1945,nan
MS,1946,nan
MS,1947,nan
MS,1948,nan
MS,1949,nan
MS,1950,nan
MS,1951,nan
MS,1952,nan
MS,1953,nan
MS,1954,nan
MS,1955,nan
MS,1956,nan
MS,1957,nan
MS,1958,nan
MS,1959,nan
MS,1960,nan
MS,1961,nan
MS,1962,nan
MS,1963,nan
MS,1964,nan
MS,1965,nan
MS,1966,nan
MS,1967,nan
MS,1968,nan
MS,1969,nan
MS,1970,nan
MS,1971,0.20
MS,1972,0.13
MS,1973,0.22
MS,1974,0.75
MS,1975,0.61
MS,1976,3.15
MS,1977,5.09
MS,1978,7.23
MS,1979,8.97
MS,1980,10.62
MS,1981,9.60
MS,1982,9.40
MS,1983,9.34
MS,1984,9.27
MS,1985,9.86
MS,1986,9.45
MS,1987,9.08
MS,1988,8.61
MS,1989,10.31
MS,1990,11.90
MS,1991,13.49
MS,1992,12.47
MS,1993,10.20
MS,1994,7.95
MS,1995,5.74
MS,1996,7.19
MS,1997,6.84
MS,1998,6.49
MS,1999,6.17
MS,2000,5.96
MS,2001,5.69
MS,2002,5.80
MS,2003,6.05
MS,2004,5.65
MS,2005,5.00
MS,2006,4.87
MS,2007,4.81
MS,2008,4.56
MS,2009,4.02
MS,2010,3.80
MS,2011,3.70
MS,2012,3.65
MS,2013,3.68
MS,2014,3.84
MS,2015,4.37
MS,2016,4.32
MS,2017,4.39
MS,2018,5.14
MS,2019,5.48
MS,2020,6.15
MS,2021,6.62
