State,Year,Abortion Rate (Guttmacher)
MT,1945,nan
MT,1946,nan
MT,1947,nan
MT,1948,nan
MT,1949,nan
MT,1950,nan
MT,1951,nan
MT,1952,nan
MT,1953,nan
MT,1954,nan
MT,1955,nan
MT,1956,nan
MT,1957,nan
MT,1958,nan
MT,1959,nan
MT,1960,nan
MT,1961,nan
MT,1962,nan
MT,1963,nan
MT,1964,nan
MT,1965,nan
MT,1966,nan
MT,1967,nan
MT,1968,nan
MT,1969,nan
MT,1970,nan
MT,1971,nan
MT,1972,nan
MT,1973,2.95
MT,1974,7.85
MT,1975,9.40
MT,1976,10.74
MT,1977,14.66
MT,1978,17.38
MT,1979,19.57
MT,1980,20.12
MT,1981,22.83
MT,1982,22.89
MT,1983,21.77
MT,1984,20.72
MT,1985,19.88
MT,1986,19.00
MT,1987,18.11
MT,1988,17.13
MT,1989,18.46
MT,1990,19.74
MT,1991,20.81
MT,1992,18.56
MT,1993,17.75
MT,1994,17.03
MT,1995,16.25
MT,1996,15.60
MT,1997,15.05
MT,1998,14.60
MT,1999,14.08
MT,2000,13.54
MT,2001,13.18
MT,2002,12.76
MT,2003,12.81
MT,2004,12.88
MT,2005,11.89
MT,2006,12.00
MT,2007,12.99
MT,2008,12.32
MT,2009,12.84
MT,2010,12.34
MT,2011,12.29
MT,2012,11.35
MT,2013,10.03
MT,2014,9.14
MT,2015,8.66
MT,2016,8.67
MT,2017,8.27
MT,2018,8.85
MT,2019,8.23
MT,2020,8.45
MT,2021,8.57
