State,Year,Abortion Rate (Guttmacher)
NC,1969,nan
NC,1970,1.22
NC,1971,3.83
NC,1972,7.14
NC,1973,10.19
NC,1974,13.67
NC,1975,15.84
NC,1976,18.41
NC,1977,18.98
NC,1978,22.40
NC,1979,22.19
NC,1980,22.86
NC,1981,23.37
NC,1982,23.03
NC,1983,23.65
NC,1984,24.05
NC,1985,22.52
NC,1986,23.30
NC,1987,24.08
NC,1988,25.24
NC,1989,24.51
NC,1990,23.78
NC,1991,23.05
NC,1992,22.50
NC,1993,22.02
NC,1994,21.56
NC,1995,21.03
NC,1996,20.23
NC,1997,20.67
NC,1998,21.11
NC,1999,21.61
NC,2000,21.07
NC,2001,19.87
NC,2002,18.38
NC,2003,18.78
NC,2004,19.81
NC,2005,18.66
NC,2006,19.61
NC,2007,17.95
NC,2008,17.14
NC,2009,16.48
NC,2010,16.77
NC,2011,14.68
NC,2012,15.02
NC,2013,15.54
NC,2014,15.18
NC,2015,14.35
NC,2016,13.59
NC,2017,14.67
NC,2018,14.37
NC,2019,14.32
NC,2020,15.42
NC,2021,15.77
