State,Year,Abortion Rate (Guttmacher)
ND,1937,nan
ND,1938,nan
ND,1939,nan
ND,1940,nan
ND,1941,nan
ND,1942,nan
ND,1943,nan
ND,1944,nan
ND,1945,nan
ND,1946,nan
ND,1947,nan
ND,1948,nan
ND,1949,nan
ND,1950,nan
ND,1951,nan
ND,1952,nan
ND,1953,nan
ND,1954,nan
ND,1955,nan
ND,1956,nan
ND,1957,nan
ND,1958,nan
ND,1959,nan
ND,1960,nan
ND,1961,nan
ND,1962,nan
ND,1963,nan
ND,1964,nan
ND,1965,nan
ND,1966,nan
ND,1967,nan
ND,1968,nan
ND,1969,nan
ND,1970,nan
ND,1971,nan
ND,1972,nan
ND,1973,nan
ND,1974,1.14
ND,1975,6.60
ND,1976,12.67
ND,1977,14.25
ND,1978,15.70
ND,1979,19.44
ND,1980,21.52
ND,1981,21.57
ND,1982,22.35
ND,1983,19.99
ND,1984,18.93
ND,1985,18.87
ND,1986,17.86
ND,1987,17.49
ND,1988,15.41
ND,1989,12.42
ND,1990,12.25
ND,1991,11.53
ND,1992,10.80
ND,1993,10.18
ND,1994,9.40
ND,1995,9.64
ND,1996,9.32
ND,1997,8.91
ND,1998,9.15
ND,1999,10.09
ND,2000,9.93
ND,2001,9.11
ND,2002,9.24
ND,2003,10.36
ND,2004,10.39
ND,2005,9.51
ND,2006,10.09
ND,2007,9.64
ND,2008,10.97
ND,2009,10.04
ND,2010,9.97
ND,2011,9.54
ND,2012,9.90
ND,2013,8.48
ND,2014,8.87
ND,2015,7.98
ND,2016,8.42
ND,2017,7.91
ND,2018,7.77
ND,2019,7.59
ND,2020,7.91
ND,2021,8.01
