State,Year,Abortion Rate (Guttmacher)
NE,1940,nan
NE,1941,nan
NE,1942,nan
NE,1943,nan
NE,1944,nan
NE,1945,nan
NE,1946,nan
NE,1947,nan
NE,1948,nan
NE,1949,nan
NE,1950,nan
NE,1951,nan
NE,1952,nan
NE,1953,nan
NE,1954,nan
NE,1955,nan
NE,1956,nan
NE,1957,nan
NE,1958,nan
NE,1959,nan
NE,1960,nan
NE,1961,nan
NE,1962,nan
NE,1963,nan
NE,1964,nan
NE,1965,nan
NE,1966,nan
NE,1967,nan
NE,1968,nan
NE,1969,nan
NE,1970,nan
NE,1971,nan
NE,1972,2.54
NE,1973,7.16
NE,1974,9.81
NE,1975,14.00
NE,1976,13.71
NE,1977,15.80
NE,1978,19.17
NE,1979,16.16
NE,1980,17.92
NE,1981,18.85
NE,1982,18.38
NE,1983,18.57
NE,1984,18.70
NE,1985,18.61
NE,1986,18.59
NE,1987,18.57
NE,1988,18.34
NE,1989,18.16
NE,1990,17.89
NE,1991,17.53
NE,1992,15.82
NE,1993,15.03
NE,1994,14.25
NE,1995,13.42
NE,1996,14.38
NE,1997,13.80
NE,1998,13.25
NE,1999,12.72
NE,2000,11.64
NE,2001,11.18
NE,2002,10.65
NE,2003,11.29
NE,2004,10.20
NE,2005,9.00
NE,2006,8.37
NE,2007,7.14
NE,2008,8.03
NE,2009,7.29
NE,2010,7.00
NE,2011,7.22
NE,2012,6.76
NE,2013,6.19
NE,2014,6.29
NE,2015,5.58
NE,2016,5.32
NE,2017,5.48
NE,2018,5.79
NE,2019,5.77
NE,2020,6.35
NE,2021,6.28
