State,Year,Abortion rate (Guttmacher)
NH,1970,nan
NH,1971,nan
NH,1972,nan
NH,1973,3.35
NH,1974,4.70
NH,1975,10.00
NH,1976,13.39
NH,1977,17.33
NH,1978,19.17
NH,1979,19.59
NH,1980,21.15
NH,1981,26.00
NH,1982,24.33
NH,1983,26.30
NH,1984,27.91
NH,1985,28.28
NH,1986,22.78
NH,1987,17.62
NH,1988,17.39
NH,1989,16.62
NH,1990,16.03
NH,1991,15.68
NH,1992,14.50
NH,1993,13.70
NH,1994,12.90
NH,1995,11.99
NH,1996,12.70
NH,1997,11.75
NH,1998,10.86
NH,1999,9.96
NH,2000,11.16
NH,2001,11.27
NH,2002,11.39
NH,2003,11.58
NH,2004,11.78
NH,2005,11.89
NH,2006,12.64
NH,2007,12.26
NH,2008,12.44
NH,2009,11.65
NH,2010,12.18
NH,2011,12.90
NH,2012,11.11
NH,2013,9.46
NH,2014,10.38
NH,2015,9.90
NH,2016,9.49
NH,2017,9.06
NH,2018,8.80
NH,2019,8.49
NH,2020,8.29
NH,2021,8.47
