State,Year,Abortion Rate (Guttmacher)
NJ,1970,nan
NJ,1971,nan
NJ,1972,nan
NJ,1973,6.60
NJ,1974,14.46
NJ,1975,20.40
NJ,1976,24.77
NJ,1977,27.54
NJ,1978,29.03
NJ,1979,30.54
NJ,1980,32.72
NJ,1981,34.55
NJ,1982,35.06
NJ,1983,35.99
NJ,1984,36.86
NJ,1985,38.26
NJ,1986,36.23
NJ,1987,34.52
NJ,1988,34.73
NJ,1989,33.42
NJ,1990,31.97
NJ,1991,30.61
NJ,1992,30.69
NJ,1993,31.94
NJ,1994,33.16
NJ,1995,34.33
NJ,1996,35.49
NJ,1997,35.61
NJ,1998,35.81
NJ,1999,36.03
NJ,2000,36.25
NJ,2001,35.84
NJ,2002,34.10
NJ,2003,33.18
NJ,2004,32.32
NJ,2005,34.23
NJ,2006,35.19
NJ,2007,31.42
NJ,2008,30.90
NJ,2009,29.64
NJ,2010,28.10
NJ,2011,27.22
NJ,2012,26.22
NJ,2013,25.57
NJ,2014,26.18
NJ,2015,27.35
NJ,2016,28.76
NJ,2017,28.67
NJ,2018,28.78
NJ,2019,28.84
NJ,2020,29.24
NJ,2021,29.99
