State,Year,Abortion rate (Guttmacher)
NM,1970,nan
NM,1971,nan
NM,1972,26.62
NM,1973,18.97
NM,1974,14.13
NM,1975,19.17
NM,1976,20.70
NM,1977,21.98
NM,1978,21.20
NM,1979,26.40
NM,1980,26.95
NM,1981,22.92
NM,1982,22.97
NM,1983,19.34
NM,1984,15.96
NM,1985,17.86
NM,1986,18.31
NM,1987,18.96
NM,1988,19.44
NM,1989,18.81
NM,1990,18.17
NM,1991,17.34
NM,1992,17.78
NM,1993,16.72
NM,1994,15.55
NM,1995,14.50
NM,1996,14.41
NM,1997,14.44
NM,1998,14.49
NM,1999,14.60
NM,2000,14.73
NM,2001,13.94
NM,2002,13.51
NM,2003,15.44
NM,2004,15.89
NM,2005,15.74
NM,2006,17.25
NM,2007,17.20
NM,2008,15.51
NM,2009,14.65
NM,2010,14.09
NM,2011,12.96
NM,2012,11.65
NM,2013,10.49
NM,2014,11.67
NM,2015,12.54
NM,2016,13.49
NM,2017,11.68
NM,2018,11.12
NM,2019,11.25
NM,2020,14.73
NM,2021,15.05
