State,Year,Abortion rate (Guttmacher)
NV,1970,nan
NV,1971,nan
NV,1972,nan
NV,1973,7.46
NV,1974,11.94
NV,1975,21.15
NV,1976,25.49
NV,1977,26.91
NV,1978,35.19
NV,1979,44.26
NV,1980,46.53
NV,1981,47.12
NV,1982,46.59
NV,1983,44.42
NV,1984,41.94
NV,1985,43.27
NV,1986,43.75
NV,1987,43.80
NV,1988,40.16
NV,1989,43.78
NV,1990,46.88
NV,1991,49.13
NV,1992,44.34
NV,1993,45.94
NV,1994,46.33
NV,1995,46.88
NV,1996,44.87
NV,1997,39.19
NV,1998,34.38
NV,1999,29.91
NV,2000,32.16
NV,2001,34.41
NV,2002,31.58
NV,2003,27.59
NV,2004,26.93
NV,2005,26.84
NV,2006,28.52
NV,2007,26.11
NV,2008,24.54
NV,2009,23.39
NV,2010,21.56
NV,2011,20.67
NV,2012,20.91
NV,2013,17.74
NV,2014,19.63
NV,2015,16.72
NV,2016,16.67
NV,2017,16.69
NV,2018,16.59
NV,2019,16.45
NV,2020,17.99
NV,2021,18.53
