State,Year,Abortion Rate (Guttmacher)
NY,1930,nan
NY,1931,nan
NY,1932,nan
NY,1933,nan
NY,1934,nan
NY,1935,nan
NY,1936,nan
NY,1937,nan
NY,1938,nan
NY,1939,nan
NY,1940,nan
NY,1941,nan
NY,1942,nan
NY,1943,nan
NY,1944,nan
NY,1945,nan
NY,1946,nan
NY,1947,nan
NY,1948,nan
NY,1949,nan
NY,1950,nan
NY,1951,nan
NY,1952,nan
NY,1953,nan
NY,1954,nan
NY,1955,nan
NY,1956,nan
NY,1957,nan
NY,1958,nan
NY,1959,nan
NY,1960,nan
NY,1961,nan
NY,1962,nan
NY,1963,nan
NY,1964,nan
NY,1965,nan
NY,1966,nan
NY,1967,nan
NY,1968,nan
NY,1969,nan
NY,1970,22.77
NY,1971,69.15
NY,1972,76.62
NY,1973,54.27
NY,1974,42.90
NY,1975,42.96
NY,1976,42.59
NY,1977,46.00
NY,1978,46.18
NY,1979,44.96
NY,1980,45.72
NY,1981,45.27
NY,1982,43.69
NY,1983,44.29
NY,1984,44.97
NY,1985,45.38
NY,1986,43.82
NY,1987,42.55
NY,1988,42.50
NY,1989,43.11
NY,1990,43.72
NY,1991,44.49
NY,1992,46.20
NY,1993,45.02
NY,1994,43.89
NY,1995,42.80
NY,1996,40.99
NY,1997,40.81
NY,1998,40.56
NY,1999,40.30
NY,2000,39.09
NY,2001,38.37
NY,2002,38.80
NY,2003,38.05
NY,2004,38.62
NY,2005,37.92
NY,2006,36.75
NY,2007,36.62
NY,2008,37.69
NY,2009,36.41
NY,2010,35.28
NY,2011,34.24
NY,2012,31.81
NY,2013,29.62
NY,2014,29.94
NY,2015,29.36
NY,2016,28.08
NY,2017,26.89
NY,2018,28.56
NY,2019,30.25
NY,2020,28.79
NY,2021,29.16
