State,Year,Abortion Rate (Guttmacher)
OH,1950,nan
OH,1951,nan
OH,1952,nan
OH,1953,nan
OH,1954,nan
OH,1955,nan
OH,1956,nan
OH,1957,nan
OH,1958,nan
OH,1959,nan
OH,1960,nan
OH,1961,nan
OH,1962,nan
OH,1963,nan
OH,1964,nan
OH,1965,nan
OH,1966,nan
OH,1967,nan
OH,1968,nan
OH,1969,nan
OH,1970,nan
OH,1971,nan
OH,1972,nan
OH,1973,7.42
OH,1974,12.92
OH,1975,18.73
OH,1976,22.20
OH,1977,24.69
OH,1978,23.13
OH,1979,25.82
OH,1980,26.77
OH,1981,24.12
OH,1982,24.43
OH,1983,23.79
OH,1984,23.08
OH,1985,22.74
OH,1986,21.48
OH,1987,20.25
OH,1988,21.04
OH,1989,20.90
OH,1990,20.64
OH,1991,20.37
OH,1992,19.48
OH,1993,18.38
OH,1994,17.29
OH,1995,16.16
OH,1996,16.95
OH,1997,16.68
OH,1998,16.42
OH,1999,16.19
OH,2000,16.47
OH,2001,16.19
OH,2002,15.51
OH,2003,15.31
OH,2004,14.87
OH,2005,15.00
OH,2006,14.96
OH,2007,14.73
OH,2008,14.76
OH,2009,14.07
OH,2010,13.53
OH,2011,12.87
OH,2012,11.92
OH,2013,11.09
OH,2014,10.27
OH,2015,9.79
OH,2016,9.38
OH,2017,9.48
OH,2018,9.25
OH,2019,9.22
OH,2020,9.49
OH,2021,9.61
