State,Year,Abortion rate (Guttmacher)
OK,1930,nan
OK,1931,nan
OK,1932,nan
OK,1933,nan
OK,1934,nan
OK,1935,nan
OK,1936,nan
OK,1937,nan
OK,1938,nan
OK,1939,nan
OK,1940,nan
OK,1941,nan
OK,1942,nan
OK,1943,nan
OK,1944,nan
OK,1945,nan
OK,1946,nan
OK,1947,nan
OK,1948,nan
OK,1949,nan
OK,1950,nan
OK,1951,nan
OK,1952,nan
OK,1953,nan
OK,1954,nan
OK,1955,nan
OK,1956,nan
OK,1957,nan
OK,1958,nan
OK,1959,nan
OK,1960,nan
OK,1961,nan
OK,1962,nan
OK,1963,nan
OK,1964,nan
OK,1965,nan
OK,1966,nan
OK,1967,nan
OK,1968,nan
OK,1969,nan
OK,1970,nan
OK,1971,nan
OK,1972,nan
OK,1973,1.04
OK,1974,7.62
OK,1975,11.40
OK,1976,12.32
OK,1977,15.87
OK,1978,17.28
OK,1979,16.25
OK,1980,16.41
OK,1981,17.60
OK,1982,17.32
OK,1983,16.86
OK,1984,16.89
OK,1985,17.64
OK,1986,16.29
OK,1987,15.15
OK,1988,17.01
OK,1989,16.38
OK,1990,15.67
OK,1991,14.88
OK,1992,13.95
OK,1993,13.60
OK,1994,13.26
OK,1995,12.90
OK,1996,11.82
OK,1997,11.37
OK,1998,10.93
OK,1999,10.55
OK,2000,10.07
OK,2001,9.98
OK,2002,9.31
OK,2003,9.61
OK,2004,9.82
OK,2005,9.62
OK,2006,10.26
OK,2007,9.62
OK,2008,9.83
OK,2009,9.61
OK,2010,8.52
OK,2011,7.91
OK,2012,7.72
OK,2013,7.64
OK,2014,7.01
OK,2015,6.31
OK,2016,5.71
OK,2017,6.23
OK,2018,6.52
OK,2019,6.46
OK,2020,4.88
OK,2021,7.66
