State,Year,Abortion Rate (Guttmacher)
OR,1930,nan
OR,1931,nan
OR,1932,nan
OR,1933,nan
OR,1934,nan
OR,1935,nan
OR,1936,nan
OR,1937,nan
OR,1938,nan
OR,1939,nan
OR,1940,nan
OR,1941,nan
OR,1942,nan
OR,1943,nan
OR,1944,nan
OR,1945,nan
OR,1946,nan
OR,1947,nan
OR,1948,nan
OR,1949,nan
OR,1950,nan
OR,1951,nan
OR,1952,nan
OR,1953,nan
OR,1954,nan
OR,1955,nan
OR,1956,nan
OR,1957,nan
OR,1958,nan
OR,1959,nan
OR,1960,nan
OR,1961,nan
OR,1962,nan
OR,1963,nan
OR,1964,nan
OR,1965,nan
OR,1966,nan
OR,1967,nan
OR,1968,nan
OR,1969,nan
OR,1970,16.49
OR,1971,15.54
OR,1972,15.33
OR,1973,23.74
OR,1974,26.88
OR,1975,25.79
OR,1976,24.01
OR,1977,27.05
OR,1978,24.88
OR,1979,29.30
OR,1980,28.37
OR,1981,25.45
OR,1982,26.10
OR,1983,25.48
OR,1984,24.53
OR,1985,24.34
OR,1986,23.54
OR,1987,22.79
OR,1988,25.10
OR,1989,25.23
OR,1990,25.22
OR,1991,24.99
OR,1992,24.08
OR,1993,23.49
OR,1994,23.06
OR,1995,22.60
OR,1996,21.59
OR,1997,22.28
OR,1998,23.08
OR,1999,23.93
OR,2000,23.53
OR,2001,23.37
OR,2002,21.25
OR,2003,20.17
OR,2004,18.18
OR,2005,18.08
OR,2006,18.80
OR,2007,17.97
OR,2008,17.24
OR,2009,15.89
OR,2010,14.59
OR,2011,14.03
OR,2012,13.05
OR,2013,11.87
OR,2014,12.03
OR,2015,12.27
OR,2016,12.30
OR,2017,11.87
OR,2018,11.45
OR,2019,11.02
OR,2020,10.27
OR,2021,9.60
OR,2022,nan
