State,Year,Abortion rate (Guttmacher)
PA,1930,nan
PA,1931,nan
PA,1932,nan
PA,1933,nan
PA,1934,nan
PA,1935,nan
PA,1936,nan
PA,1937,nan
PA,1938,nan
PA,1939,nan
PA,1940,nan
PA,1941,nan
PA,1942,nan
PA,1943,nan
PA,1944,nan
PA,1945,nan
PA,1946,nan
PA,1947,nan
PA,1948,nan
PA,1949,nan
PA,1950,nan
PA,1951,nan
PA,1952,nan
PA,1953,nan
PA,1954,nan
PA,1955,nan
PA,1956,nan
PA,1957,nan
PA,1958,nan
PA,1959,nan
PA,1960,nan
PA,1961,nan
PA,1962,nan
PA,1963,nan
PA,1964,nan
PA,1965,nan
PA,1966,nan
PA,1967,nan
PA,1968,nan
PA,1969,nan
PA,1970,nan
PA,1971,nan
PA,1972,3.50
PA,1973,12.16
PA,1974,16.77
PA,1975,18.85
PA,1976,22.13
PA,1977,24.09
PA,1978,25.06
PA,1979,24.71
PA,1980,26.04
PA,1981,24.33
PA,1982,23.93
PA,1983,23.23
PA,1984,22.54
PA,1985,21.32
PA,1986,20.19
PA,1987,19.12
PA,1988,19.18
PA,1989,19.23
PA,1990,19.23
PA,1991,19.20
PA,1992,18.64
PA,1993,17.62
PA,1994,16.57
PA,1995,15.52
PA,1996,15.13
PA,1997,14.72
PA,1998,14.30
PA,1999,13.89
PA,2000,14.30
PA,2001,14.74
PA,2002,14.04
PA,2003,14.71
PA,2004,14.44
PA,2005,14.04
PA,2006,14.82
PA,2007,14.85
PA,2008,16.66
PA,2009,16.03
PA,2010,15.83
PA,2011,15.14
PA,2012,14.41
PA,2013,13.39
PA,2014,13.34
PA,2015,13.54
PA,2016,13.53
PA,2017,13.14
PA,2018,13.06
PA,2019,13.13
PA,2020,13.56
PA,2021,13.92
