State,Year,Abortion Rate (Guttmacher)
RI,1970,nan
RI,1971,nan
RI,1972,nan
RI,1973,5.68
RI,1974,14.62
RI,1975,16.41
RI,1976,18.88
RI,1977,19.97
RI,1978,21.37
RI,1979,26.12
RI,1980,30.66
RI,1981,34.11
RI,1982,34.59
RI,1983,33.68
RI,1984,32.60
RI,1985,33.56
RI,1986,32.52
RI,1987,31.55
RI,1988,31.81
RI,1989,31.66
RI,1990,31.47
RI,1991,31.56
RI,1992,30.02
RI,1993,28.66
RI,1994,27.13
RI,1995,25.59
RI,1996,24.49
RI,1997,24.31
RI,1998,24.09
RI,1999,23.99
RI,2000,24.09
RI,2001,24.22
RI,2002,24.57
RI,2003,24.47
RI,2004,24.80
RI,2005,23.18
RI,2006,22.08
RI,2007,22.17
RI,2008,22.87
RI,2009,21.23
RI,2010,20.01
RI,2011,19.80
RI,2012,18.20
RI,2013,16.86
RI,2014,17.07
RI,2015,16.91
RI,2016,16.88
RI,2017,16.89
RI,2018,15.27
RI,2019,13.70
RI,2020,13.34
RI,2021,13.27
