State,Year,Abortion rate (Guttmacher)
SC,1970,0.70
SC,1971,1.25
SC,1972,1.43
SC,1973,3.52
SC,1974,7.97
SC,1975,9.31
SC,1976,8.46
SC,1977,12.70
SC,1978,18.17
SC,1979,17.94
SC,1980,18.17
SC,1981,19.85
SC,1982,20.81
SC,1983,17.76
SC,1984,14.73
SC,1985,14.34
SC,1986,15.05
SC,1987,15.73
SC,1988,17.06
SC,1989,16.69
SC,1990,16.23
SC,1991,15.74
SC,1992,14.19
SC,1993,13.68
SC,1994,13.21
SC,1995,12.69
SC,1996,11.42
SC,1997,10.79
SC,1998,10.16
SC,1999,9.58
SC,2000,9.28
SC,2001,8.46
SC,2002,7.86
SC,2003,7.60
SC,2004,7.40
SC,2005,7.89
SC,2006,7.96
SC,2007,8.28
SC,2008,7.89
SC,2009,7.66
SC,2010,7.25
SC,2011,7.18
SC,2012,6.96
SC,2013,6.83
SC,2014,6.45
SC,2015,6.20
SC,2016,6.02
SC,2017,5.33
SC,2018,4.80
SC,2019,5.21
SC,2020,5.53
SC,2021,5.63
