State,Year,Abortion rate (Guttmacher)
SD,1970,nan
SD,1971,nan
SD,1972,nan
SD,1973,12.06
SD,1974,11.77
SD,1975,11.07
SD,1976,11.09
SD,1977,9.56
SD,1978,9.44
SD,1979,9.65
SD,1980,9.04
SD,1981,10.56
SD,1982,11.24
SD,1983,11.44
SD,1984,11.64
SD,1985,10.84
SD,1986,8.31
SD,1987,5.72
SD,1988,5.96
SD,1989,6.22
SD,1990,6.43
SD,1991,6.54
SD,1992,6.88
SD,1993,6.87
SD,1994,6.84
SD,1995,6.83
SD,1996,6.53
SD,1997,5.93
SD,1998,5.39
SD,1999,4.76
SD,2000,5.56
SD,2001,5.71
SD,2002,5.31
SD,2003,5.30
SD,2004,5.28
SD,2005,5.25
SD,2006,4.91
SD,2007,4.64
SD,2008,5.58
SD,2009,5.06
SD,2010,4.83
SD,2011,3.91
SD,2012,4.10
SD,2013,3.86
SD,2014,3.52
SD,2015,2.83
SD,2016,2.99
SD,2017,3.11
SD,2018,2.37
SD,2019,2.58
SD,2020,0.76
SD,2021,1.17
