State,Year,Abortion Rate (Guttmacher)
TN,1970,nan
TN,1971,nan
TN,1972,nan
TN,1973,5.86
TN,1974,16.96
TN,1975,18.44
TN,1976,23.38
TN,1977,30.18
TN,1978,22.32
TN,1979,24.03
TN,1980,23.67
TN,1981,22.19
TN,1982,23.72
TN,1983,22.01
TN,1984,20.22
TN,1985,19.81
TN,1986,19.50
TN,1987,19.15
TN,1988,19.15
TN,1989,18.47
TN,1990,17.73
TN,1991,16.92
TN,1992,16.24
TN,1993,15.92
TN,1994,15.54
TN,1995,15.16
TN,1996,14.81
TN,1997,14.75
TN,1998,14.73
TN,1999,14.77
TN,2000,15.19
TN,2001,15.23
TN,2002,15.70
TN,2003,15.60
TN,2004,14.59
TN,2005,14.46
TN,2006,14.51
TN,2007,14.45
TN,2008,15.33
TN,2009,14.81
TN,2010,14.00
TN,2011,13.11
TN,2012,13.02
TN,2013,11.80
TN,2014,10.75
TN,2015,9.63
TN,2016,9.22
TN,2017,9.27
TN,2018,8.36
TN,2019,7.48
TN,2020,8.08
TN,2021,7.94
