State,Year,Abortion rate (Guttmacher)
TX,1957,nan
TX,1958,nan
TX,1959,nan
TX,1960,nan
TX,1961,nan
TX,1962,nan
TX,1963,nan
TX,1964,nan
TX,1965,nan
TX,1966,nan
TX,1967,nan
TX,1968,nan
TX,1969,nan
TX,1970,nan
TX,1971,nan
TX,1972,nan
TX,1973,6.56
TX,1974,13.81
TX,1975,18.09
TX,1976,20.59
TX,1977,23.20
TX,1978,26.40
TX,1979,28.70
TX,1980,29.93
TX,1981,31.26
TX,1982,28.70
TX,1983,27.02
TX,1984,25.75
TX,1985,25.49
TX,1986,24.91
TX,1987,24.79
TX,1988,24.96
TX,1989,24.36
TX,1990,23.79
TX,1991,23.10
TX,1992,23.31
TX,1993,22.40
TX,1994,21.51
TX,1995,20.59
TX,1996,20.93
TX,1997,20.14
TX,1998,19.38
TX,1999,18.69
TX,2000,18.75
TX,2001,18.72
TX,2002,18.96
TX,2003,18.48
TX,2004,17.24
TX,2005,17.20
TX,2006,16.32
TX,2007,15.91
TX,2008,16.24
TX,2009,15.19
TX,2010,14.86
TX,2011,13.57
TX,2012,12.88
TX,2013,12.16
TX,2014,9.78
TX,2015,9.69
TX,2016,9.25
TX,2017,9.43
TX,2018,9.57
TX,2019,9.85
TX,2020,9.52
TX,2021,8.19
TX,2022,nan
