State,Year,Abortion rate (Guttmacher)
UT,1940,nan
UT,1941,nan
UT,1942,nan
UT,1943,nan
UT,1944,nan
UT,1945,nan
UT,1946,nan
UT,1947,nan
UT,1948,nan
UT,1949,nan
UT,1950,nan
UT,1951,nan
UT,1952,nan
UT,1953,nan
UT,1954,nan
UT,1955,nan
UT,1956,nan
UT,1957,nan
UT,1958,nan
UT,1959,nan
UT,1960,nan
UT,1961,nan
UT,1962,nan
UT,1963,nan
UT,1964,nan
UT,1965,nan
UT,1966,nan
UT,1967,nan
UT,1968,nan
UT,1969,nan
UT,1970,nan
UT,1971,nan
UT,1972,nan
UT,1973,0.42
UT,1974,5.48
UT,1975,7.65
UT,1976,8.87
UT,1977,10.09
UT,1978,9.95
UT,1979,11.57
UT,1980,12.29
UT,1981,11.71
UT,1982,11.69
UT,1983,11.59
UT,1984,11.45
UT,1985,11.82
UT,1986,12.14
UT,1987,12.58
UT,1988,13.05
UT,1989,12.25
UT,1990,11.34
UT,1991,10.35
UT,1992,9.30
UT,1993,8.83
UT,1994,8.39
UT,1995,7.99
UT,1996,7.70
UT,1997,7.34
UT,1998,7.07
UT,1999,6.80
UT,2000,6.64
UT,2001,6.72
UT,2002,6.52
UT,2003,6.58
UT,2004,6.69
UT,2005,6.53
UT,2006,6.85
UT,2007,7.11
UT,2008,6.82
UT,2009,6.15
UT,2010,6.26
UT,2011,5.54
UT,2012,5.29
UT,2013,5.04
UT,2014,4.65
UT,2015,4.93
UT,2016,4.59
UT,2017,4.43
UT,2018,4.60
UT,2019,4.32
UT,2020,4.38
UT,2021,4.38
