State,Year,Abortion Rate (Guttmacher)
VA,1970,nan
VA,1971,3.63
VA,1972,4.18
VA,1973,7.56
VA,1974,14.47
VA,1975,17.31
VA,1976,20.87
VA,1977,22.63
VA,1978,23.97
VA,1979,24.31
VA,1980,24.30
VA,1981,26.63
VA,1982,25.62
VA,1983,24.04
VA,1984,22.45
VA,1985,23.81
VA,1986,23.43
VA,1987,23.05
VA,1988,23.41
VA,1989,23.18
VA,1990,22.91
VA,1991,22.72
VA,1992,22.57
VA,1993,21.69
VA,1994,20.82
VA,1995,19.97
VA,1996,18.89
VA,1997,18.58
VA,1998,18.37
VA,1999,18.08
VA,2000,18.08
VA,2001,15.72
VA,2002,15.83
VA,2003,16.62
VA,2004,16.22
VA,2005,16.24
VA,2006,17.39
VA,2007,18.14
VA,2008,17.45
VA,2009,17.07
VA,2010,16.71
VA,2011,16.54
VA,2012,15.96
VA,2013,15.66
VA,2014,12.73
VA,2015,12.23
VA,2016,11.85
VA,2017,10.38
VA,2018,10.14
VA,2019,9.87
VA,2020,11.19
VA,2021,11.36
