State,Year,Abortion Rate (Guttmacher)
VT,1960,nan
VT,1961,nan
VT,1962,nan
VT,1963,nan
VT,1964,nan
VT,1965,nan
VT,1966,nan
VT,1967,nan
VT,1968,nan
VT,1969,nan
VT,1970,nan
VT,1971,0.10
VT,1972,2.36
VT,1973,14.80
VT,1974,18.67
VT,1975,21.11
VT,1976,25.02
VT,1977,20.88
VT,1978,28.16
VT,1979,28.08
VT,1980,30.45
VT,1981,30.07
VT,1982,29.32
VT,1983,27.94
VT,1984,26.66
VT,1985,26.74
VT,1986,27.14
VT,1987,27.60
VT,1988,26.44
VT,1989,25.04
VT,1990,23.81
VT,1991,22.71
VT,1992,21.40
VT,1993,20.32
VT,1994,19.16
VT,1995,17.98
VT,1996,17.10
VT,1997,15.78
VT,1998,14.41
VT,1999,13.09
VT,2000,13.64
VT,2001,11.73
VT,2002,12.76
VT,2003,13.33
VT,2004,13.70
VT,2005,12.93
VT,2006,12.98
VT,2007,12.93
VT,2008,12.50
VT,2009,11.24
VT,2010,11.59
VT,2011,11.66
VT,2012,12.17
VT,2013,12.81
VT,2014,12.12
VT,2015,11.89
VT,2016,11.89
VT,2017,11.36
VT,2018,10.50
VT,2019,10.41
VT,2020,10.69
VT,2021,10.88
