State,Year,Abortion rate (Guttmacher)
WA,1930,nan
WA,1931,nan
WA,1932,nan
WA,1933,nan
WA,1934,nan
WA,1935,nan
WA,1936,nan
WA,1937,nan
WA,1938,nan
WA,1939,nan
WA,1940,nan
WA,1941,nan
WA,1942,nan
WA,1943,nan
WA,1944,nan
WA,1945,nan
WA,1946,nan
WA,1947,nan
WA,1948,nan
WA,1949,nan
WA,1950,nan
WA,1951,nan
WA,1952,nan
WA,1953,nan
WA,1954,nan
WA,1955,nan
WA,1956,nan
WA,1957,nan
WA,1958,nan
WA,1959,nan
WA,1960,nan
WA,1961,nan
WA,1962,nan
WA,1963,nan
WA,1964,nan
WA,1965,nan
WA,1966,nan
WA,1967,nan
WA,1968,nan
WA,1969,nan
WA,1970,0.74
WA,1971,19.76
WA,1972,24.21
WA,1973,23.08
WA,1974,25.65
WA,1975,26.14
WA,1976,27.53
WA,1977,36.22
WA,1978,38.15
WA,1979,37.61
WA,1980,37.45
WA,1981,34.88
WA,1982,33.37
WA,1983,30.94
WA,1984,28.29
WA,1985,29.25
WA,1986,28.41
WA,1987,27.59
WA,1988,28.09
WA,1989,28.08
WA,1990,27.92
WA,1991,27.67
WA,1992,27.75
WA,1993,25.10
WA,1994,22.67
WA,1995,20.23
WA,1996,20.99
WA,1997,20.75
WA,1998,20.59
WA,1999,20.53
WA,2000,20.24
WA,2001,19.84
WA,2002,19.30
WA,2003,19.26
WA,2004,18.84
WA,2005,17.71
WA,2006,18.58
WA,2007,18.63
WA,2008,18.11
WA,2009,17.21
WA,2010,16.39
WA,2011,16.04
WA,2012,14.54
WA,2013,13.90
WA,2014,13.79
WA,2015,12.90
WA,2016,12.08
WA,2017,12.11
WA,2018,12.21
WA,2019,12.29
WA,2020,11.75
WA,2021,11.74
