State,Year,Abortion rate (Guttmacher)
WI,1970,nan
WI,1971,nan
WI,1972,8.01
WI,1973,8.64
WI,1974,11.32
WI,1975,12.49
WI,1976,14.37
WI,1977,15.72
WI,1978,16.97
WI,1979,18.97
WI,1980,20.06
WI,1981,19.48
WI,1982,18.51
WI,1983,17.79
WI,1984,17.01
WI,1985,16.02
WI,1986,16.21
WI,1987,16.40
WI,1988,16.09
WI,1989,15.55
WI,1990,14.96
WI,1991,14.28
WI,1992,13.65
WI,1993,12.92
WI,1994,12.23
WI,1995,11.51
WI,1996,12.21
WI,1997,11.44
WI,1998,10.68
WI,1999,9.92
WI,2000,9.61
WI,2001,9.45
WI,2002,9.10
WI,2003,9.20
WI,2004,8.71
WI,2005,8.65
WI,2006,8.50
WI,2007,7.39
WI,2008,7.41
WI,2009,7.86
WI,2010,7.37
WI,2011,7.00
WI,2012,6.53
WI,2013,5.94
WI,2014,5.57
WI,2015,5.59
WI,2016,5.70
WI,2017,5.87
WI,2018,6.32
WI,2019,6.65
WI,2020,6.37
WI,2021,6.56
WI,2022,nan
