State,Year,Abortion rate (Guttmacher)
WV,1950,nan
WV,1951,nan
WV,1952,nan
WV,1953,nan
WV,1954,nan
WV,1955,nan
WV,1956,nan
WV,1957,nan
WV,1958,nan
WV,1959,nan
WV,1960,nan
WV,1961,nan
WV,1962,nan
WV,1963,nan
WV,1964,nan
WV,1965,nan
WV,1966,nan
WV,1967,nan
WV,1968,nan
WV,1969,nan
WV,1970,nan
WV,1971,nan
WV,1972,nan
WV,1973,0.13
WV,1974,0.07
WV,1975,0.25
WV,1976,2.44
WV,1977,5.40
WV,1978,6.77
WV,1979,7.25
WV,1980,7.07
WV,1981,7.13
WV,1982,7.87
WV,1983,9.33
WV,1984,10.86
WV,1985,10.73
WV,1986,9.17
WV,1987,7.60
WV,1988,8.42
WV,1989,7.81
WV,1990,7.13
WV,1991,6.38
WV,1992,7.78
WV,1993,7.71
WV,1994,7.67
WV,1995,7.66
WV,1996,6.61
WV,1997,6.58
WV,1998,6.60
WV,1999,6.59
WV,2000,6.84
WV,2001,6.69
WV,2002,6.27
WV,2003,6.53
WV,2004,6.81
WV,2005,6.70
WV,2006,6.86
WV,2007,6.41
WV,2008,6.60
WV,2009,6.64
WV,2010,7.43
WV,2011,7.01
WV,2012,6.50
WV,2013,6.12
WV,2014,6.01
WV,2015,5.38
WV,2016,5.19
WV,2017,4.45
WV,2018,4.73
WV,2019,3.74
WV,2020,3.19
WV,2021,3.09
