State,Year,Abortion Rate (Guttmacher)
WY,1930,nan
WY,1931,nan
WY,1932,nan
WY,1933,nan
WY,1934,nan
WY,1935,nan
WY,1936,nan
WY,1937,nan
WY,1938,nan
WY,1939,nan
WY,1940,nan
WY,1941,nan
WY,1942,nan
WY,1943,nan
WY,1944,nan
WY,1945,nan
WY,1946,nan
WY,1947,nan
WY,1948,nan
WY,1949,nan
WY,1950,nan
WY,1951,nan
WY,1952,nan
WY,1953,nan
WY,1954,nan
WY,1955,nan
WY,1956,nan
WY,1957,nan
WY,1958,nan
WY,1959,nan
WY,1960,nan
WY,1961,nan
WY,1962,nan
WY,1963,nan
WY,1964,nan
WY,1965,nan
WY,1966,nan
WY,1967,nan
WY,1968,nan
WY,1969,nan
WY,1970,nan
WY,1971,nan
WY,1972,nan
WY,1973,2.38
WY,1974,4.03
WY,1975,6.40
WY,1976,6.39
WY,1977,9.53
WY,1978,10.66
WY,1979,9.57
WY,1980,9.52
WY,1981,8.22
WY,1982,8.60
WY,1983,8.85
WY,1984,9.18
WY,1985,9.39
WY,1986,7.82
WY,1987,6.32
WY,1988,5.71
WY,1989,5.49
WY,1990,5.32
WY,1991,5.01
WY,1992,4.42
WY,1993,3.82
WY,1994,3.23
WY,1995,2.65
WY,1996,2.66
WY,1997,2.50
WY,1998,2.24
WY,1999,2.08
WY,2000,0.96
WY,2001,0.49
WY,2002,0.97
WY,2003,0.59
WY,2004,0.79
WY,2005,0.69
WY,2006,0.79
WY,2007,0.87
WY,2008,0.86
WY,2009,0.85
WY,2010,0.84
WY,2011,1.13
WY,2012,1.20
WY,2013,1.28
WY,2014,1.09
WY,2015,1.00
WY,2016,1.01
WY,2017,1.30
WY,2018,1.12
WY,2019,0.84
WY,2020,0.93
WY,2021,0.90
