State,Year,Abortion Rate (Guttmacher),Democratic Vote,Republican Vote
AK,1972,15.56,34.62,58.13
AK,1976,16.71,35.65,57.9
AK,1980,17.8,26.41,54.35
AK,1984,23.6,29.87,66.65
AK,1988,17.49,36.27,59.59
AK,1992,16.73,30.29,39.46
AK,1996,15.37,33.27,50.8
AK,2000,11.76,27.67,58.62
AK,2004,13.71,35.52,61.07
AK,2008,12.5,37.89,59.42
AK,2012,12.53,40.8,54.8
AK,2016,8.73,36.55,51.28
AK,2020,8.79,42.77,52.83
AL,1972,1.53,25.54,72.43
AL,1976,10.0,55.73,42.61
AL,1980,23.07,47.45,48.75
AL,1984,20.78,38.28,60.54
AL,1988,19.28,39.86,59.17
AL,1992,18.1,40.88,47.65
AL,1996,15.44,43.16,50.12
AL,2000,14.26,41.57,56.48
AL,2004,11.97,36.84,62.46
AL,2008,11.73,38.74,60.32
AL,2012,9.47,38.4,60.6
AL,2016,6.98,34.36,62.08
AL,2020,6.02,36.57,62.03
AR,1972,1.95,30.71,68.82
AR,1976,9.15,64.94,34.93
AR,1980,12.28,47.52,48.13
AR,1984,10.09,38.29,60.47
AR,1988,11.95,42.19,56.37
AR,1992,13.57,53.21,35.48
AR,1996,11.44,53.74,36.8
AR,2000,9.84,45.86,51.31
AR,2004,8.27,44.55,54.31
AR,2008,8.59,38.86,58.72
AR,2012,7.64,36.9,60.6
AR,2016,5.73,33.65,60.57
AR,2020,5.6,34.78,62.4
AZ,1972,0.64,30.38,61.64
AZ,1976,15.19,39.8,56.37
AZ,1980,25.05,28.24,60.61
AZ,1984,29.61,32.54,66.42
AZ,1988,28.04,38.74,59.95
AZ,1992,23.86,36.52,38.47
AZ,1996,20.11,46.52,44.29
AZ,2000,16.45,44.73,51.02
AZ,2004,15.42,44.4,54.87
AZ,2008,15.49,45.12,53.64
AZ,2012,11.49,44.6,53.7
AZ,2016,9.96,44.58,48.08
AZ,2020,9.36,49.36,49.06
CA,1972,30.74,41.54,55.0
CA,1976,38.12,47.57,49.35
CA,1980,43.67,35.91,52.69
CA,1984,47.22,41.27,57.51
CA,1988,44.99,47.56,51.13
CA,1992,41.91,46.01,32.61
CA,1996,33.05,51.1,38.21
CA,2000,31.13,53.45,41.65
CA,2004,26.77,54.31,44.36
CA,2008,27.36,61.01,36.95
CA,2012,21.62,60.2,37.1
CA,2016,17.51,61.73,31.62
CA,2020,19.27,63.48,34.32
CO,1972,9.85,34.59,62.61
CO,1976,23.44,42.58,54.05
CO,1980,31.4,31.07,55.07
CO,1984,30.53,35.12,63.44
CO,1988,23.06,45.28,53.06
CO,1992,24.06,40.13,35.87
CO,1996,20.9,44.43,45.8
CO,2000,15.92,42.39,50.75
CO,2004,15.68,47.02,51.69
CO,2008,15.76,53.66,44.71
CO,2012,13.03,51.5,46.1
CO,2016,11.06,48.16,43.25
CO,2020,11.29,55.4,41.9
CT,1972,4.0,40.13,58.57
CT,1976,22.99,46.9,52.06
CT,1980,25.51,38.52,48.16
CT,1984,28.11,38.83,60.73
CT,1988,29.98,46.87,51.98
CT,1992,26.13,42.21,35.78
CT,1996,22.44,52.83,34.69
CT,2000,21.09,55.91,38.44
CT,2004,23.55,54.31,43.95
CT,2008,24.36,60.59,38.22
CT,2012,20.21,58.1,40.7
CT,2016,18.17,54.57,40.93
CT,2020,16.68,59.26,39.19
DC,1972,213.63,78.1,21.56
DC,1976,179.14,81.63,16.51
DC,1980,167.19,74.89,13.41
DC,1984,134.67,85.38,13.73
DC,1988,149.69,82.65,14.3
DC,1992,138.42,84.64,9.1
DC,1996,114.04,85.19,9.34
DC,2000,68.29,85.16,8.95
DC,2004,49.85,89.18,9.34
DC,2008,29.11,92.46,6.53
DC,2012,30.18,90.9,7.3
DC,2016,10.39,90.86,4.09
DC,2020,49.1,92.15,5.4
DE,1972,10.55,39.18,59.6
DE,1976,18.4,51.98,46.57
DE,1980,25.96,44.87,47.21
DE,1984,31.46,39.93,59.78
DE,1988,36.1,43.48,55.88
DE,1992,34.91,43.52,35.78
DE,1996,26.27,51.8,36.58
DE,2000,31.28,54.96,41.9
DE,2004,28.0,53.35,45.75
DE,2008,39.28,61.94,36.95
DE,2012,23.02,58.6,40.0
DE,2016,12.55,53.09,41.72
DE,2020,12.54,58.74,39.77
FL,1972,2.28,27.8,71.91
FL,1976,28.72,51.93,46.64
FL,1980,35.33,38.5,55.52
FL,1984,31.52,34.66,65.32
FL,1988,30.9,38.51,60.87
FL,1992,29.71,39.0,40.89
FL,1996,31.87,48.02,42.32
FL,2000,31.87,48.84,48.85
FL,2004,28.06,47.09,52.1
FL,2008,26.39,51.03,48.22
FL,2012,22.82,50.0,49.1
FL,2016,18.57,47.82,49.02
FL,2020,19.78,47.86,51.22
GA,1972,2.34,24.65,75.04
GA,1976,21.55,66.74,32.96
GA,1980,28.4,55.76,40.95
GA,1984,26.6,39.79,60.17
GA,1988,23.1,39.5,59.75
GA,1992,23.86,43.47,42.88
GA,1996,21.13,45.84,47.01
GA,2000,16.87,42.98,54.67
GA,2004,17.33,41.37,57.97
GA,2008,19.23,46.99,52.2
GA,2012,16.29,45.5,53.3
GA,2016,16.43,45.64,50.77
GA,2020,19.02,49.47,49.24
HI,1972,24.5,37.52,62.48
HI,1976,27.99,50.59,48.06
HI,1980,34.47,44.8,42.9
HI,1984,42.62,43.82,55.1
HI,1988,43.81,54.27,44.75
HI,1992,46.62,48.09,36.7
HI,1996,27.16,56.93,31.64
HI,2000,22.22,55.79,37.46
HI,2004,20.16,54.01,45.26
HI,2008,21.61,71.85,26.58
HI,2012,18.75,70.6,27.8
HI,2016,11.94,62.22,30.03
HI,2020,12.46,63.73,34.27
IA,1976,10.89,48.46,49.47
IA,1980,14.29,38.6,51.31
IA,1984,16.35,45.89,53.27
IA,1988,15.35,54.71,44.5
IA,1992,11.38,43.29,37.27
IA,1996,12.4,50.26,39.92
IA,2000,9.92,48.54,48.22
IA,2004,10.19,49.23,49.9
IA,2008,11.32,53.93,44.39
IA,2012,9.11,52.0,46.2
IA,2016,7.21,41.74,51.15
IA,2020,6.79,44.89,53.09
ID,1976,7.05,37.12,59.88
ID,1980,12.72,25.19,66.46
ID,1984,12.36,26.39,72.36
ID,1988,8.8,36.01,62.08
ID,1992,7.27,28.42,42.03
ID,1996,6.11,33.65,52.18
ID,2000,7.0,27.64,67.17
ID,2004,6.94,30.26,68.38
ID,2008,5.91,36.09,61.52
ID,2012,4.92,32.6,64.5
ID,2016,3.99,27.49,59.26
ID,2020,4.79,33.07,63.84
IL,1976,28.86,48.13,50.1
IL,1980,25.9,41.72,49.65
IL,1984,24.54,43.3,56.17
IL,1988,27.01,48.6,50.69
IL,1992,25.38,48.58,34.34
IL,1996,25.74,54.32,36.81
IL,2000,23.21,54.6,42.58
IL,2004,19.68,54.82,44.48
IL,2008,20.74,61.92,36.78
IL,2012,17.75,57.6,40.7
IL,2016,16.41,55.83,38.76
IL,2020,21.36,57.54,40.55
IN,1976,7.26,45.7,53.32
IN,1980,15.33,37.65,56.01
IN,1984,12.51,37.68,61.67
IN,1988,12.16,39.69,59.84
IN,1992,12.04,36.79,42.91
IN,1996,11.14,41.55,47.13
IN,2000,9.43,41.01,56.65
IN,2004,8.45,39.26,59.94
IN,2008,8.49,49.95,48.91
IN,2012,7.14,43.9,54.1
IN,2016,5.9,37.91,56.82
IN,2020,6.0,40.96,57.02
KS,1972,27.77,29.5,67.66
KS,1976,26.18,44.94,52.49
KS,1980,25.54,33.29,57.85
KS,1984,22.63,32.6,66.27
KS,1988,20.56,42.56,55.79
KS,1992,22.39,33.74,38.88
KS,1996,18.64,36.08,54.29
KS,2000,21.38,37.24,58.04
KS,2004,20.17,36.62,62.0
KS,2008,19.22,41.65,56.61
KS,2012,13.66,38.0,59.7
KS,2016,12.22,36.05,56.65
KS,2020,14.63,41.56,56.21
KY,1976,13.0,52.75,45.57
KY,1980,15.16,47.61,49.07
KY,1984,11.66,39.37,60.04
KY,1988,13.38,43.88,55.52
KY,1992,11.39,44.55,41.34
KY,1996,9.54,45.84,44.88
KY,2000,5.29,41.37,56.5
KY,2004,4.22,39.69,59.55
KY,2008,5.14,41.17,57.4
KY,2012,4.52,37.8,60.5
KY,2016,3.91,32.68,62.52
KY,2020,4.84,36.15,62.09
LA,1976,9.53,51.73,45.95
LA,1980,17.6,45.75,51.2
LA,1984,18.17,38.18,60.77
LA,1988,16.95,44.06,54.27
LA,1992,13.52,45.58,40.97
LA,1996,14.67,52.01,39.94
LA,2000,13.03,44.88,52.55
LA,2004,12.76,42.22,56.72
LA,2008,16.14,39.93,58.56
LA,2012,11.8,40.6,57.8
LA,2016,11.22,38.45,58.09
LA,2020,8.13,39.85,58.46
MA,1972,2.8,54.2,45.23
MA,1976,29.72,56.11,40.44
MA,1980,33.42,41.75,41.9
MA,1984,25.09,48.43,51.22
MA,1988,29.22,53.23,45.38
MA,1992,28.29,47.54,29.03
MA,1996,29.36,61.47,28.09
MA,2000,21.37,59.8,32.5
MA,2004,18.96,61.94,36.78
MA,2008,18.37,61.8,35.99
MA,2012,16.4,60.7,37.5
MA,2016,13.94,60.01,32.81
MA,2020,12.23,65.6,32.14
MD,1972,10.0,37.36,61.26
MD,1976,23.94,53.04,46.96
MD,1980,29.14,47.14,44.18
MD,1984,26.35,47.02,52.51
MD,1988,27.73,48.2,51.11
MD,1992,26.18,49.8,35.62
MD,1996,26.21,54.25,38.27
MD,2000,29.02,56.57,40.18
MD,2004,31.48,55.91,42.93
MD,2008,28.65,61.92,36.47
MD,2012,26.48,62.0,35.9
MD,2016,25.54,60.33,33.91
MD,2020,26.04,65.36,32.15
ME,1976,11.13,48.07,48.91
ME,1980,18.63,42.25,45.61
ME,1984,19.29,38.78,60.83
ME,1988,16.7,43.88,55.34
ME,1992,14.77,38.77,30.39
ME,1996,9.68,51.62,30.76
ME,2000,9.9,49.09,43.97
ME,2004,10.99,53.57,44.58
ME,2008,11.22,57.71,40.38
ME,2012,9.55,56.3,41.0
ME,2016,8.9,47.83,44.87
ME,2020,10.11,53.09,44.02
MI,1976,24.13,46.44,51.83
MI,1980,29.77,42.5,48.99
MI,1984,30.44,40.24,59.23
MI,1988,28.54,45.67,53.57
MI,1992,24.96,43.77,36.38
MI,1996,21.84,51.69,38.48
MI,2000,21.56,51.28,46.15
MI,2004,20.78,51.23,47.81
MI,2008,18.64,57.43,40.96
MI,2012,15.16,54.2,44.7
MI,2016,14.51,47.27,47.5
MI,2020,16.82,50.62,47.84
MN,1976,17.71,54.9,42.02
MN,1980,20.7,46.5,42.56
MN,1984,17.57,49.72,49.54
MN,1988,18.21,52.91,45.9
MN,1992,15.69,43.48,31.85
MN,1996,13.92,51.1,34.96
MN,2000,13.48,47.91,45.5
MN,2004,12.83,51.09,47.61
MN,2008,12.36,54.06,43.82
MN,2012,10.33,52.7,45.0
MN,2016,9.61,46.44,44.92
MN,2020,10.17,52.4,45.28
MO,1976,12.95,51.1,47.47
MO,1980,19.38,44.35,51.16
MO,1984,19.39,39.98,60.02
MO,1988,16.68,47.85,51.83
MO,1992,11.54,44.07,33.92
MO,1996,9.75,47.54,41.24
MO,2000,6.56,47.08,50.42
MO,2004,7.19,46.1,53.3
MO,2008,6.28,49.29,49.43
MO,2012,4.85,44.4,53.8
MO,2016,4.53,38.14,56.77
MO,2020,0.14,41.41,56.8
MS,1972,0.13,19.63,78.2
MS,1976,3.15,49.56,47.68
MS,1980,10.62,48.09,49.42
MS,1984,9.27,37.46,61.85
MS,1988,8.61,39.07,59.89
MS,1992,12.47,40.77,49.68
MS,1996,7.19,44.08,49.21
MS,2000,5.96,40.7,57.62
MS,2004,5.65,39.76,59.45
MS,2008,4.56,43.0,56.18
MS,2012,3.65,43.8,55.3
MS,2016,4.32,40.06,57.86
MS,2020,6.15,41.06,57.6
MT,1976,10.74,45.4,52.84
MT,1980,20.12,32.43,56.82
MT,1984,20.72,38.18,60.47
MT,1988,17.13,46.2,52.07
MT,1992,18.56,37.63,35.12
MT,1996,15.6,41.23,44.11
MT,2000,13.54,33.36,58.44
MT,2004,12.88,38.56,59.07
MT,2008,12.32,47.25,49.51
MT,2012,11.35,41.7,55.4
MT,2016,8.67,35.75,56.17
MT,2020,8.45,40.55,56.92
NC,1972,7.14,28.89,69.46
