State,Year,Abortion rate (Guttmacher)
AK,1972,1.53
AK,1973,6.0
AK,1974,6.42
AK,1975,7.42
AK,1976,10.0
AK,1977,13.68
AK,1978,17.3
AK,1979,19.8
AK,1980,23.07
AK,1981,21.81
AK,1982,21.79
AK,1983,21.33
AK,1984,20.78
AK,1985,20.77
AK,1986,20.74
AK,1987,20.72
AK,1988,19.28
AK,1989,19.05
AK,1990,18.6
AK,1991,18.12
AK,1992,18.1
AK,1993,16.97
AK,1994,15.91
AK,1995,14.91
AK,1996,15.44
AK,1997,15.16
AK,1998,14.81
AK,1999,14.57
AK,2000,14.26
AK,2001,14.06
AK,2002,12.9
AK,2003,11.54
AK,2004,11.97
AK,2005,11.92
AK,2006,12.26
AK,2007,11.76
AK,2008,11.73
AK,2009,11.31
AK,2010,10.69
AK,2011,9.98
AK,2012,9.47
AK,2013,8.84
AK,2014,8.43
AK,2015,6.17
AK,2016,6.98
AK,2017,6.44
AK,2018,6.84
AK,2019,6.33
AK,2020,6.02
AK,2021,6.05
AL,1970,6.12
AL,1971,16.14
AL,1972,15.56
AL,1973,14.78
AL,1974,13.9
AL,1975,17.59
AL,1976,16.71
AL,1977,25.91
AL,1978,24.96
AL,1979,17.97
AL,1980,17.8
AL,1981,17.14
AL,1982,16.32
AL,1983,19.82
AL,1984,23.6
AL,1985,25.03
AL,1986,21.59
AL,1987,18.79
AL,1988,17.49
AL,1989,17.41
AL,1990,17.52
AL,1991,17.23
AL,1992,16.73
AL,1993,15.79
AL,1994,15.03
AL,1995,14.19
AL,1996,15.37
AL,1997,14.84
AL,1998,14.2
AL,1999,13.67
AL,2000,11.76
AL,2001,12.3
AL,2002,12.81
AL,2003,13.3
AL,2004,13.71
AL,2005,13.82
AL,2006,13.51
AL,2007,12.14
AL,2008,12.5
AL,2009,13.6
AL,2010,13.41
AL,2011,12.77
AL,2012,12.53
AL,2013,10.85
AL,2014,10.52
AL,2015,9.27
AL,2016,8.73
AL,2017,8.74
AL,2018,9.2
AL,2019,9.32
AL,2020,8.79
AL,2021,8.96
AR,1972,0.64
AR,1973,6.06
AR,1974,12.66
AR,1975,13.4
AR,1976,15.19
AR,1977,17.59
AR,1978,23.42
AR,1979,24.03
AR,1980,25.05
AR,1981,25.33
AR,1982,23.52
AR,1983,26.76
AR,1984,29.61
AR,1985,30.0
AR,1986,28.62
AR,1987,27.49
AR,1988,28.04
AR,1989,26.31
AR,1990,24.93
AR,1991,23.17
AR,1992,23.86
AR,1993,22.42
AR,1994,20.73
AR,1995,19.25
AR,1996,20.11
AR,1997,18.72
AR,1998,17.57
AR,1999,16.48
AR,2000,16.45
AR,2001,12.55
AR,2002,14.94
AR,2003,13.46
AR,2004,15.42
AR,2005,16.32
AR,2006,15.81
AR,2007,14.08
AR,2008,15.49
AR,2009,13.01
AR,2010,12.01
AR,2011,12.68
AR,2012,11.49
AR,2013,10.49
AR,2014,9.85
AR,2015,9.57
AR,2016,9.96
AR,2017,9.26
AR,2018,9.05
AR,2019,9.36
AR,2020,9.36
AR,2021,9.44
AZ,1971,1.62
AZ,1972,1.95
AZ,1973,2.71
AZ,1974,4.46
AZ,1975,5.76
AZ,1976,9.15
AZ,1977,7.54
AZ,1978,10.6
AZ,1979,12.32
AZ,1980,12.28
AZ,1981,12.54
AZ,1982,13.05
AZ,1983,11.57
AZ,1984,10.09
AZ,1985,10.39
AZ,1986,11.88
AZ,1987,13.35
AZ,1988,11.95
AZ,1989,12.58
AZ,1990,13.13
AZ,1991,13.62
AZ,1992,13.57
AZ,1993,12.72
AZ,1994,11.92
AZ,1995,11.16
AZ,1996,11.44
AZ,1997,11.11
AZ,1998,10.84
AZ,1999,10.6
AZ,2000,9.84
AZ,2001,10.57
AZ,2002,9.49
AZ,2003,9.66
AZ,2004,8.27
AZ,2005,8.34
AZ,2006,8.83
AZ,2007,8.59
AZ,2008,8.59
AZ,2009,8.26
AZ,2010,8.2
AZ,2011,7.63
AZ,2012,7.64
AZ,2013,7.77
AZ,2014,7.97
AZ,2015,6.89
AZ,2016,5.73
AZ,2017,5.63
AZ,2018,5.31
AZ,2019,5.12
AZ,2020,5.6
AZ,2021,5.55
CA,1970,15.15
CA,1971,26.48
CA,1972,30.74
CA,1973,31.1
CA,1974,33.41
CA,1975,33.81
CA,1976,38.12
CA,1977,40.05
CA,1978,43.42
CA,1979,44.66
CA,1980,43.67
CA,1981,44.66
CA,1982,44.06
CA,1983,45.63
CA,1984,47.22
CA,1985,47.02
CA,1986,47.37
CA,1987,47.85
CA,1988,44.99
CA,1989,44.49
CA,1990,44.26
CA,1991,44.36
CA,1992,41.91
CA,1993,39.04
CA,1994,36.26
CA,1995,33.42
CA,1996,33.05
CA,1997,32.46
CA,1998,31.87
CA,1999,31.36
CA,2000,31.13
CA,2001,31.67
CA,2002,30.98
CA,2003,28.85
CA,2004,26.77
CA,2005,26.77
CA,2006,28.52
CA,2007,28.6
CA,2008,27.36
CA,2009,26.16
CA,2010,24.28
CA,2011,22.99
CA,2012,21.62
CA,2013,20.59
CA,2014,19.66
CA,2015,18.5
CA,2016,17.51
CA,2017,16.5
CA,2018,17.61
CA,2019,18.76
CA,2020,19.27
CA,2021,19.95
CO,1970,5.25
CO,1971,8.3
CO,1972,9.85
CO,1973,13.13
CO,1974,18.93
CO,1975,22.12
CO,1976,23.44
CO,1977,28.24
CO,1978,28.79
CO,1979,31.27
CO,1980,31.4
CO,1981,31.62
CO,1982,32.34
CO,1983,31.27
CO,1984,30.53
CO,1985,29.89
CO,1986,26.33
CO,1987,22.98
CO,1988,23.06
CO,1989,24.09
CO,1990,25.05
CO,1991,25.68
CO,1992,24.06
CO,1993,21.95
CO,1994,19.95
CO,1995,18.06
CO,1996,20.9
CO,1997,19.43
CO,1998,18.05
CO,1999,16.61
CO,2000,15.92
CO,2001,15.69
CO,2002,15.61
CO,2003,15.65
CO,2004,15.68
CO,2005,16.27
CO,2006,15.56
CO,2007,16.18
CO,2008,15.76
CO,2009,15.3
CO,2010,14.65
CO,2011,14.18
CO,2012,13.03
CO,2013,12.08
CO,2014,12.19
CO,2015,11.56
CO,2016,11.06
CO,2017,10.91
CO,2018,10.75
CO,2019,10.57
CO,2020,11.29
CO,2021,12.45
CT,1972,4.0
CT,1973,10.39
CT,1974,14.09
CT,1975,17.04
CT,1976,22.99
CT,1977,24.11
CT,1978,25.33
CT,1979,25.82
CT,1980,25.51
CT,1981,30.75
CT,1982,31.13
CT,1983,29.6
CT,1984,28.11
CT,1985,28.21
CT,1986,28.24
CT,1987,28.39
CT,1988,29.98
CT,1989,28.81
CT,1990,27.63
CT,1991,26.58
CT,1992,26.13
CT,1993,25.17
CT,1994,24.08
CT,1995,22.92
CT,1996,22.44
CT,1997,21.72
CT,1998,21.16
CT,1999,20.57
CT,2000,21.09
CT,2001,22.57
CT,2002,23.84
CT,2003,22.87
CT,2004,23.55
CT,2005,23.64
CT,2006,24.49
CT,2007,24.79
CT,2008,24.36
CT,2009,23.0
CT,2010,22.29
CT,2011,21.25
CT,2012,20.21
CT,2013,19.48
CT,2014,19.29
CT,2015,18.03
CT,2016,18.17
CT,2017,17.77
CT,2018,17.62
CT,2019,17.9
CT,2020,16.68
CT,2021,16.22
DE,1970,4.7
DE,1971,7.69
DE,1972,10.55
DE,1973,15.74
DE,1974,16.47
DE,1975,17.27
DE,1976,18.4
DE,1977,21.46
DE,1978,24.3
DE,1979,25.33
DE,1980,25.96
DE,1981,27.94
DE,1982,26.68
DE,1983,29.12
DE,1984,31.46
DE,1985,30.27
DE,1986,33.33
DE,1987,36.3
DE,1988,36.1
DE,1989,35.71
DE,1990,35.39
DE,1991,34.91
DE,1992,34.91
DE,1993,34.77
DE,1994,34.66
DE,1995,34.27
DE,1996,26.27
DE,1997,27.5
DE,1998,28.7
DE,1999,29.97
DE,2000,31.28
DE,2001,29.91
DE,2002,27.6
DE,2003,25.59
DE,2004,28.0
DE,2005,28.87
DE,2006,39.35
DE,2007,42.11
DE,2008,39.28
DE,2009,38.53
DE,2010,36.66
DE,2011,28.48
DE,2012,23.02
DE,2013,17.83
DE,2014,16.79
DE,2015,14.56
DE,2016,12.55
DE,2017,10.65
DE,2018,9.72
DE,2019,11.33
DE,2020,12.54
DE,2021,13.03
FL,1972,2.28
FL,1973,14.48
FL,1974,18.15
FL,1975,26.87
FL,1976,28.72
FL,1977,31.24
FL,1978,33.44
FL,1979,35.38
FL,1980,35.33
FL,1981,35.33
FL,1982,34.06
FL,1983,32.79
FL,1984,31.52
FL,1985,30.9
FL,1986,30.75
FL,1987,30.62
FL,1988,30.9
FL,1989,30.49
FL,1990,30.21
FL,1991,29.81
FL,1992,29.71
FL,1993,29.9
FL,1994,29.92
