State,Year,Abortion rate (Guttmacher)
AK,1970,6.12
AK,1971,16.14
AK,1972,15.56
AK,1973,14.78
AK,1974,13.90
AK,1975,17.59
AK,1976,16.71
AK,1977,25.91
AK,1978,24.96
AK,1979,17.97
AK,1980,17.80
AK,1981,17.14
AK,1982,16.32
AK,1983,19.82
AK,1984,23.60
AK,1985,25.03
AK,1986,21.59
AK,1987,18.79
AK,1988,17.49
AK,1989,17.41
AK,1990,17.52
AK,1991,17.23
AK,1992,16.73
AK,1993,15.79
AK,1994,15.03
AK,1995,14.19
AK,1996,15.37
AK,1997,14.84
AK,1998,14.20
AK,1999,13.67
AK,2000,11.76
AK,2001,12.30
AK,2002,12.81
AK,2003,13.30
AK,2004,13.71
AK,2005,13.82
AK,2006,13.51
AK,2007,12.14
AK,2008,12.50
AK,2009,13.60
AK,2010,13.41
AK,2011,12.77
AK,2012,12.53
AK,2013,10.85
AK,2014,10.52
AK,2015,9.27
AK,2016,8.73
AK,2017,8.74
AK,2018,9.20
AK,2019,9.32
AK,2020,8.79
AK,2021,8.96
