State,Year,Democratic Vote,Republican Vote
AL,2008,38.74,60.32
AK,2008,37.89,59.42
AZ,2008,45.12,53.64
AR,2008,38.86,58.72
CA,2008,61.01,36.95
CO,2008,53.66,44.71
CT,2008,60.59,38.22
DE,2008,61.94,36.95
DC,2008,92.46,6.53
FL,2008,51.03,48.22
GA,2008,46.99,52.20
HI,2008,71.85,26.58
ID,2008,36.09,61.52
IL,2008,61.92,36.78
IN,2008,49.95,48.91
IA,2008,53.93,44.39
KS,2008,41.65,56.61
KY,2008,41.17,57.40
LA,2008,39.93,58.56
ME,2008,57.71,40.38
MD,2008,61.92,36.47
MA,2008,61.80,35.99
MI,2008,57.43,40.96
MN,2008,54.06,43.82
MS,2008,43.00,56.18
MO,2008,49.29,49.43
MT,2008,47.25,49.51
NE,2008,41.60,56.53
NV,2008,55.15,42.65
NH,2008,54.13,44.52
NJ,2008,57.27,41.70
NM,2008,56.91,41.78
NY,2008,62.88,36.03
NC,2008,49.70,49.38
ND,2008,44.62,53.25
OH,2008,51.50,46.91
OK,2008,34.35,65.65
OR,2008,56.75,40.40
PA,2008,54.49,44.17
RI,2008,62.86,35.06
SC,2008,44.90,53.87
SD,2008,44.75,53.16
TN,2008,41.83,56.90
TX,2008,43.68,55.45
UT,2008,34.41,62.58
VT,2008,67.46,30.45
VA,2008,52.63,46.33
WA,2008,57.65,40.48
WV,2008,42.59,55.71
WI,2008,56.22,42.31
WY,2008,32.54,64.78
